Players,Team,MP,FG,FGA,FGp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Davis Bertans,SAS,777,103,234,0.4402,69,173,0.3988,28,34,0.8235,22,76,98,46,20,28,32,75,303
Dejounte Murray,SAS,306,50,116,0.4310,9,23,0.3913,21,30,0.7000,6,36,42,48,8,6,38,29,130
Dewayne Dedmon,SAS,1291,161,259,0.6216,0,0,,65,93,0.6989,129,367,496,44,37,61,61,180,387
Joel Anthony,SAS,113,10,16,0.6250,0,0,,5,8,0.6250,8,23,31,3,2,6,4,11,25
Jonathon Simmons,SAS,1349,177,421,0.4204,30,102,0.2941,99,132,0.7500,20,140,160,126,47,25,76,146,483
Kawhi Leonard,SAS,2440,636,1312,0.4848,147,387,0.3798,469,533,0.8799,80,350,430,260,133,55,154,122,1888
Kyle Anderson,SAS,987,93,209,0.4450,15,40,0.3750,45,57,0.7895,33,175,208,91,51,26,39,63,246
LaMarcus Aldridge,SAS,2300,500,1049,0.4766,23,56,0.4107,220,271,0.8118,172,351,523,139,46,88,98,158,1243
Manu Ginobili,SAS,1256,171,439,0.3895,89,227,0.3921,86,107,0.8037,28,129,157,183,82,16,96,119,517
Nicolas Laprovittola,SAS,165,20,47,0.4255,10,27,0.3704,9,9,1.0000,1,9,10,28,4,1,19,19,59
Patty Mills,SAS,1721,273,621,0.4396,147,355,0.4141,66,80,0.8250,24,117,141,280,65,3,101,109,759
Pau Gasol,SAS,1595,303,604,0.5017,56,104,0.5385,130,184,0.7065,107,394,501,150,24,70,81,110,792
Tony Parker,SAS,1556,265,569,0.4657,23,69,0.3333,85,117,0.7265,9,104,113,285,34,2,89,92,638
Bruno Caboclo,TOR,37,6,16,0.3750,2,6,0.3333,0,0,,5,5,10,4,2,1,2,4,14
Cory Joseph,TOR,1965,299,661,0.4523,48,135,0.3556,94,122,0.7705,51,184,235,265,66,13,108,140,740
Delon Wright,TOR,432,49,116,0.4224,10,30,0.3333,42,55,0.7636,16,32,48,57,27,11,25,31,150
DeMar DeRozan,TOR,2582,721,1545,0.4667,33,124,0.2661,545,647,0.8423,70,316,386,290,78,13,180,134,2020
DeMarre Carroll,TOR,1843,220,550,0.4000,109,320,0.3406,89,117,0.7607,63,212,275,74,81,27,54,143,638
Fred VanVleet,TOR,277,39,111,0.3514,11,29,0.3793,18,22,0.8182,4,38,42,35,16,3,15,36,107
Jakob Poeltl,TOR,598,67,115,0.5826,0,0,,31,57,0.5439,78,87,165,12,17,20,29,113,165
Jared Sullinger,TOR,111,15,47,0.3191,3,18,0.1667,4,8,0.5000,10,17,27,3,4,1,4,17,37
Jonas Valanciunas,TOR,2025,391,702,0.5570,1,2,0.5000,176,217,0.8111,226,533,759,57,37,63,106,216,959
Kyle Lowry,TOR,2213,426,918,0.4641,193,468,0.4124,299,365,0.8192,48,238,286,417,88,19,173,170,1344
Lucas Nogueira,TOR,1059,103,156,0.6603,3,12,0.2500,44,67,0.6567,82,162,244,42,52,89,46,137,253
Norman Powell,TOR,1335,227,506,0.4486,56,173,0.3237,126,159,0.7925,26,143,169,82,52,14,70,127,636
P.J. Tucker,TOR,598,52,128,0.4063,24,60,0.4000,11,16,0.6875,23,106,129,26,31,5,14,53,139
Pascal Siakam,TOR,831,103,205,0.5024,1,7,0.1429,22,32,0.6875,64,121,185,17,26,45,33,109,229
Patrick Patterson,TOR,1563,154,384,0.4010,94,253,0.3715,43,60,0.7167,62,231,293,76,40,23,38,120,445
Serge Ibaka,TOR,702,128,279,0.4588,41,103,0.3981,30,34,0.8824,29,127,156,15,7,33,39,76,327
Terrence Ross,TOR,1181,211,479,0.4405,96,256,0.3750,41,50,0.8200,14,124,138,45,53,20,33,82,559
Alec Burks,UTA,632,99,248,0.3992,25,76,0.3289,60,78,0.7692,17,103,120,30,18,5,35,50,283
Boris Diaw,UTA,1246,146,327,0.4465,20,81,0.2469,26,35,0.7429,46,112,158,170,18,9,87,83,338
Dante Exum,UTA,1192,155,363,0.4270,44,149,0.2953,58,73,0.7945,30,102,132,111,21,12,80,146,412
Derrick Favors,UTA,1163,203,417,0.4868,3,10,0.3000,67,109,0.6147,92,213,305,56,45,40,60,103,476
George Hill,UTA,1519,289,606,0.4769,94,233,0.4034,157,196,0.8010,23,144,167,204,50,11,85,114,829
Gordon Hayward,UTA,2479,545,1156,0.4715,149,374,0.3984,362,429,0.8438,49,345,394,252,73,20,140,117,1601
Jeff Withey,UTA,405,55,103,0.5340,0,1,0.0000,36,48,0.7500,52,69,121,7,16,32,14,52,146
Joe Ingles,UTA,1926,204,451,0.4523,123,279,0.4409,50,68,0.7353,23,238,261,225,96,8,107,163,581
Joe Johnson,UTA,1802,273,626,0.4361,106,258,0.4109,63,77,0.8182,33,210,243,144,36,18,69,93,715
Joel Bolomboy,UTA,46,9,16,0.5625,1,4,0.2500,3,6,0.5000,4,13,17,2,1,2,2,1,22
Raul Neto,UTA,327,41,91,0.4505,10,31,0.3226,8,9,0.8889,4,26,30,34,21,5,15,48,100
Rodney Hood,UTA,1567,272,666,0.4084,114,307,0.3713,90,115,0.7826,16,186,202,96,38,11,65,132,748
Rudy Gobert,UTA,2707,413,625,0.6608,0,1,0.0000,311,476,0.6534,314,721,1035,97,49,214,147,246,1137
Shelvin Mack,UTA,1178,170,381,0.4462,37,120,0.3083,53,77,0.6883,20,105,125,154,42,3,90,100,430
Trey Lyles,UTA,1119,159,439,0.3622,65,204,0.3186,57,79,0.7215,48,187,235,69,26,20,64,97,440
Andrew Nicholson,WAS,217,30,77,0.3896,3,16,0.1875,7,12,0.5833,11,23,34,7,11,6,11,37,70
Bojan Bogdanovic,WAS,589,107,234,0.4573,45,115,0.3913,71,76,0.9342,14,66,80,21,10,4,38,47,330
