Players,Team,MP,FG,FGA,FGp,3P,3PA,3Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bradley Beal,WAS,2644,637,1322,0.4818,223,552,0.4040,282,342,0.8246,53,187,240,267,83,21,156,169,1779
Brandon Jennings,WAS,363,29,106,0.2736,11,52,0.2115,12,17,0.7059,8,36,44,108,15,0,22,32,81
Chris McCullough,WAS,7,0,1,0.0000,0,1,0.0000,1,2,0.5000,0,2,2,0,1,0,1,0,1
Daniel Ochefu,WAS,65,12,27,0.4444,0,0,,0,2,0.0000,5,17,22,3,2,0,3,17,24
Danuel House,WAS,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Ian Mahinmi,WAS,540,65,111,0.5856,0,0,,43,75,0.5733,47,103,150,19,33,24,34,90,173
Jason Smith,WAS,1032,174,329,0.5289,37,78,0.4744,35,51,0.6863,64,194,258,37,21,54,58,168,420
John Wall,WAS,2795,647,1435,0.4509,89,272,0.3272,422,527,0.8008,59,267,326,831,157,49,322,151,1805
Kelly Oubre,WAS,1566,186,442,0.4208,54,188,0.2872,75,99,0.7576,61,200,261,47,58,17,50,195,501
Marcin Gortat,WAS,2511,390,674,0.5786,0,2,0.0000,103,159,0.6478,238,611,849,121,40,61,119,213,883
Marcus Thornton,WAS,557,84,210,0.4000,28,80,0.3500,23,27,0.8519,22,54,76,41,19,3,25,48,219
Markieff Morris,WAS,2341,406,889,0.4567,71,196,0.3622,180,215,0.8372,107,386,493,126,82,42,129,254,1063
Otto Porter,WAS,2567,414,803,0.5156,148,341,0.4340,99,119,0.8319,118,396,514,121,116,42,44,193,1075
Sheldon Mac,WAS,271,30,75,0.4000,7,30,0.2333,23,27,0.8519,4,30,34,15,8,2,5,17,90
Tomas Satoransky,WAS,691,61,147,0.4150,9,37,0.2432,23,33,0.6970,25,58,83,92,26,6,38,60,154
Trey Burke,WAS,678,116,255,0.4549,31,70,0.4429,22,29,0.7586,7,40,47,100,11,5,48,54,285
