Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Carmelo Anthony,32,74,74,34.3,8.1,18.8,.433,2.0,5.7,.359,6.1,13.1,.466,.488,4.1,4.9,.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
2,Kristaps Porzingis,21,66,65,32.8,6.7,14.9,.450,1.7,4.8,.357,5.0,10.2,.493,.507,3.0,3.8,.786,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1
3,Derrick Rose,28,64,64,32.5,7.2,15.3,.471,0.2,0.9,.217,7.0,14.3,.487,.477,3.5,4.0,.874,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0
4,Courtney Lee,31,77,74,31.9,4.2,9.1,.456,1.4,3.5,.401,2.8,5.6,.490,.533,1.1,1.3,.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8
5,Brandon Jennings,27,58,11,24.6,2.8,7.4,.380,1.2,3.4,.340,1.6,3.9,.415,.459,1.8,2.3,.756,0.4,2.3,2.6,4.9,0.9,0.1,1.8,1.4,8.6
6,Joakim Noah,31,46,46,22.1,2.2,4.4,.490,0.0,0.0,.000,2.2,4.4,.493,.490,0.7,1.7,.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0
7,Lance Thomas,28,46,15,21.0,2.1,5.3,.398,0.8,1.8,.447,1.3,3.5,.371,.475,0.9,1.1,.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0
8,Justin Holiday,27,82,4,20.0,2.8,6.6,.433,1.2,3.3,.355,1.7,3.2,.513,.523,0.8,1.0,.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7
9,Willy Hernangomez,22,72,22,18.4,3.4,6.5,.529,0.1,0.2,.267,3.4,6.3,.538,.533,1.3,1.7,.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2
10,Ron Baker,23,52,13,16.5,1.6,4.2,.378,0.4,1.7,.267,1.1,2.5,.450,.431,0.5,0.8,.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1
11,Kyle O'Quinn,26,79,8,15.6,2.7,5.2,.521,0.0,0.2,.118,2.7,5.0,.538,.523,0.8,1.1,.771,2.0,3.6,5.6,1.5,0.5,1.3,1.0,2.2,6.3
12,Mindaugas Kuzminskas,27,68,5,14.9,2.3,5.4,.428,0.8,2.5,.321,1.5,3.0,.517,.501,0.8,1.0,.809,0.7,1.2,1.9,1.0,0.4,0.2,0.8,1.2,6.3
13,Chasson Randle,23,18,0,12.5,1.6,4.0,.389,0.6,1.8,.313,1.0,2.2,.450,.458,1.6,1.7,.935,0.3,1.2,1.5,1.6,0.3,0.1,0.9,1.6,5.3
14,Maurice Ndour,24,32,4,10.3,1.2,2.7,.453,0.0,0.2,.143,1.2,2.5,.481,.459,0.6,0.8,.731,0.7,1.3,2.0,0.3,0.5,0.3,0.4,0.9,3.1
15,Sasha Vujacic,32,42,4,9.7,1.0,3.2,.309,0.5,1.8,.311,0.5,1.5,.306,.393,0.4,0.6,.708,0.3,1.1,1.4,1.2,0.3,0.0,0.4,0.9,3.0
16,Marshall Plumlee,24,21,1,8.1,0.8,1.4,.533,0.0,0.0,0.0,0.8,1.4,.533,.533,0.4,0.9,.421,1.1,1.3,2.4,0.5,0.2,0.2,0.6,1.1,1.9
