Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Boston Celtics,101,Atlanta Hawks,102,H
Houston Rockets,78,Golden State Warriors,104,H
Dallas Mavericks,70,Oklahoma City Thunder,108,H
Indiana Pacers,100,Toronto Raptors,90,V
Detroit Pistons,101,Cleveland Cavaliers,106,H
Portland Trail Blazers,95,Los Angeles Clippers,115,H
Charlotte Hornets,91,Miami Heat,123,H
Memphis Grizzlies,74,San Antonio Spurs,106,H
Houston Rockets,106,Golden State Warriors,115,H
Dallas Mavericks,85,Oklahoma City Thunder,84,V
Indiana Pacers,87,Toronto Raptors,98,H
Boston Celtics,72,Atlanta Hawks,89,H
Memphis Grizzlies,68,San Antonio Spurs,94,H
Detroit Pistons,90,Cleveland Cavaliers,107,H
Portland Trail Blazers,81,Los Angeles Clippers,102,H
Charlotte Hornets,103,Miami Heat,115,H
Oklahoma City Thunder,131,Dallas Mavericks,102,V
Golden State Warriors,96,Houston Rockets,97,H
Toronto Raptors,101,Indiana Pacers,85,V
Atlanta Hawks,103,Boston Celtics,111,H
Cleveland Cavaliers,101,Detroit Pistons,91,V
San Antonio Spurs,96,Memphis Grizzlies,87,V
Miami Heat,80,Charlotte Hornets,96,H
Oklahoma City Thunder,119,Dallas Mavericks,108,V
Toronto Raptors,83,Indiana Pacers,100,H
Los Angeles Clippers,88,Portland Trail Blazers,96,H
Atlanta Hawks,95,Boston Celtics,104,H
Cleveland Cavaliers,100,Detroit Pistons,98,V
Golden State Warriors,121,Houston Rockets,94,V
San Antonio Spurs,116,Memphis Grizzlies,95,V
Miami Heat,85,Charlotte Hornets,89,H
Dallas Mavericks,104,Oklahoma City Thunder,118,H
Los Angeles Clippers,84,Portland Trail Blazers,98,H
Boston Celtics,83,Atlanta Hawks,110,H
Indiana Pacers,99,Toronto Raptors,102,H
Houston Rockets,81,Golden State Warriors,114,H
Portland Trail Blazers,108,Los Angeles Clippers,98,V
Charlotte Hornets,90,Miami Heat,88,V
Atlanta Hawks,104,Boston Celtics,92,V
Miami Heat,97,Charlotte Hornets,90,V
Toronto Raptors,83,Indiana Pacers,101,H
Los Angeles Clippers,103,Portland Trail Blazers,106,H
Oklahoma City Thunder,92,San Antonio Spurs,124,H
Portland Trail Blazers,106,Golden State Warriors,118,H
Charlotte Hornets,73,Miami Heat,106,H
Indiana Pacers,84,Toronto Raptors,89,H
Atlanta Hawks,93,Cleveland Cavaliers,104,H
Oklahoma City Thunder,98,San Antonio Spurs,97,V
Portland Trail Blazers,99,Golden State Warriors,110,H
Miami Heat,102,Toronto Raptors,96,V
Atlanta Hawks,98,Cleveland Cavaliers,123,H
Miami Heat,92,Toronto Raptors,96,H
Cleveland Cavaliers,121,Atlanta Hawks,108,V
San Antonio Spurs,100,Oklahoma City Thunder,96,V
Toronto Raptors,95,Miami Heat,91,V
Golden State Warriors,108,Portland Trail Blazers,120,H
Cleveland Cavaliers,100,Atlanta Hawks,99,V
San Antonio Spurs,97,Oklahoma City Thunder,111,H
Toronto Raptors,87,Miami Heat,94,H
Golden State Warriors,132,Portland Trail Blazers,125,V
Oklahoma City Thunder,95,San Antonio Spurs,91,V
Portland Trail Blazers,121,Golden State Warriors,125,H
Miami Heat,91,Toronto Raptors,99,H
San Antonio Spurs,99,Oklahoma City Thunder,113,H
Toronto Raptors,91,Miami Heat,103,H
Miami Heat,89,Toronto Raptors,116,H
Oklahoma City Thunder,108,Golden State Warriors,102,V
Toronto Raptors,84,Cleveland Cavaliers,115,H
Oklahoma City Thunder,91,Golden State Warriors,118,H
Toronto Raptors,89,Cleveland Cavaliers,108,H
Cleveland Cavaliers,84,Toronto Raptors,99,H
Golden State Warriors,105,Oklahoma City Thunder,133,H
Cleveland Cavaliers,99,Toronto Raptors,105,H
Golden State Warriors,94,Oklahoma City Thunder,118,H
Toronto Raptors,78,Cleveland Cavaliers,116,H
Oklahoma City Thunder,111,Golden State Warriors,120,H
Cleveland Cavaliers,113,Toronto Raptors,87,V
Golden State Warriors,108,Oklahoma City Thunder,101,V
Oklahoma City Thunder,88,Golden State Warriors,96,H
Cleveland Cavaliers,89,Golden State Warriors,104,H
Cleveland Cavaliers,77,Golden State Warriors,110,H
Golden State Warriors,90,Cleveland Cavaliers,120,H
Golden State Warriors,108,Cleveland Cavaliers,97,V
Cleveland Cavaliers,112,Golden State Warriors,97,V
Golden State Warriors,101,Cleveland Cavaliers,115,H
Cleveland Cavaliers,93,Golden State Warriors,89,V
