Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
San Antonio Spurs,92,Golden State Warriors,113,H
Miami Heat,103,Philadelphia 76ers,130,H
New Orleans Pelicans,97,Portland Trail Blazers,95,V
Washington Wizards,106,Toronto Raptors,114,H
Milwaukee Bucks,107,Boston Celtics,113,H
Indiana Pacers,98,Cleveland Cavaliers,80,V
Minnesota Timberwolves,101,Houston Rockets,104,H
Utah Jazz,108,Oklahoma City Thunder,116,H
San Antonio Spurs,101,Golden State Warriors,116,H
Miami Heat,113,Philadelphia 76ers,103,V
Milwaukee Bucks,106,Boston Celtics,120,H
New Orleans Pelicans,111,Portland Trail Blazers,102,V
Washington Wizards,119,Toronto Raptors,130,H
Indiana Pacers,97,Cleveland Cavaliers,100,H
Minnesota Timberwolves,82,Houston Rockets,102,H
Utah Jazz,102,Oklahoma City Thunder,95,V
Philadelphia 76ers,128,Miami Heat,108,V
Portland Trail Blazers,102,New Orleans Pelicans,119,H
Golden State Warriors,110,San Antonio Spurs,97,V
Cleveland Cavaliers,90,Indiana Pacers,92,H
Boston Celtics,92,Milwaukee Bucks,116,H
Toronto Raptors,103,Washington Wizards,122,H
Philadelphia 76ers,106,Miami Heat,102,V
Houston Rockets,105,Minnesota Timberwolves,121,H
Portland Trail Blazers,123,New Orleans Pelicans,131,H
Oklahoma City Thunder,102,Utah Jazz,115,H
Cleveland Cavaliers,104,Indiana Pacers,100,V
Boston Celtics,102,Milwaukee Bucks,104,H
Golden State Warriors,90,San Antonio Spurs,103,H
Toronto Raptors,98,Washington Wizards,106,H
Houston Rockets,119,Minnesota Timberwolves,100,V
Oklahoma City Thunder,96,Utah Jazz,113,H
Milwaukee Bucks,87,Boston Celtics,92,H
San Antonio Spurs,91,Golden State Warriors,99,H
Miami Heat,91,Philadelphia 76ers,104,H
Indiana Pacers,95,Cleveland Cavaliers,98,H
Minnesota Timberwolves,104,Houston Rockets,122,H
Utah Jazz,99,Oklahoma City Thunder,107,H
Washington Wizards,98,Toronto Raptors,108,H
Boston Celtics,86,Milwaukee Bucks,97,H
Cleveland Cavaliers,87,Indiana Pacers,121,H
Oklahoma City Thunder,91,Utah Jazz,96,H
Toronto Raptors,102,Washington Wizards,92,V
Milwaukee Bucks,96,Boston Celtics,112,H
New Orleans Pelicans,101,Golden State Warriors,123,H
Indiana Pacers,101,Cleveland Cavaliers,105,H
Utah Jazz,96,Houston Rockets,110,H
Philadelphia 76ers,101,Boston Celtics,117,H
New Orleans Pelicans,116,Golden State Warriors,121,H
Cleveland Cavaliers,113,Toronto Raptors,112,V
Utah Jazz,116,Houston Rockets,108,V
Philadelphia 76ers,103,Boston Celtics,108,H
Cleveland Cavaliers,128,Toronto Raptors,110,V
Golden State Warriors,100,New Orleans Pelicans,119,H
Houston Rockets,113,Utah Jazz,92,V
Toronto Raptors,103,Cleveland Cavaliers,105,H
Boston Celtics,101,Philadelphia 76ers,98,V
Golden State Warriors,118,New Orleans Pelicans,92,V
Houston Rockets,100,Utah Jazz,87,V
Toronto Raptors,93,Cleveland Cavaliers,128,H
Boston Celtics,92,Philadelphia 76ers,103,H
New Orleans Pelicans,104,Golden State Warriors,113,H
Utah Jazz,102,Houston Rockets,112,H
Philadelphia 76ers,112,Boston Celtics,114,H
Cleveland Cavaliers,83,Boston Celtics,108,H
Golden State Warriors,119,Houston Rockets,106,V
Cleveland Cavaliers,94,Boston Celtics,107,H
Golden State Warriors,105,Houston Rockets,127,H
Boston Celtics,86,Cleveland Cavaliers,116,H
Houston Rockets,85,Golden State Warriors,126,H
Boston Celtics,102,Cleveland Cavaliers,111,H
Houston Rockets,95,Golden State Warriors,92,V
Cleveland Cavaliers,83,Boston Celtics,96,H
Golden State Warriors,94,Houston Rockets,98,H
Boston Celtics,99,Cleveland Cavaliers,109,H
Houston Rockets,86,Golden State Warriors,115,H
Cleveland Cavaliers,87,Boston Celtics,79,V
Golden State Warriors,101,Houston Rockets,92,V
Cleveland Cavaliers,114,Golden State Warriors,124,H
Cleveland Cavaliers,103,Golden State Warriors,122,H
Golden State Warriors,110,Cleveland Cavaliers,102,V
Golden State Warriors,108,Cleveland Cavaliers,85,V
