HT,HPTS,HP,HW,HC,VT,VPTS,VP,VW,VC,RET
CLE,9048,11308.396,0.579,0.622,NYK,8556,8710.459,0.415,0.378,1
GSW,9503,11055.784,0.579,0.817,SAS,8637,9263.841,0.415,0.744,-1
POR,8851,9765.196,0.579,0.518,UTA,8258,9223.688,0.415,0.622,1
BOS,8857,10525.549,0.579,0.646,BRK,8673,8806.689,0.415,0.244,1
IND,8618,8765.311,0.579,0.512,DAL,8029,9366.25,0.415,0.402,1
LAL,8575,8296.810,0.579,0.317,HOU,9458,12003.932,0.415,0.671,1
MEM,8239,8914.511,0.579,0.524,MIN,8657,8256.684,0.415,0.378,1
MIL,8497,8835.627,0.579,0.512,CHA,8657,8256.684,0.415,0.378,-1
NOP,8556,8793.823,0.579,0.415,DEN,9161,9770.992,0.415,0.488,-1
ORL,8288,8450.805,0.579,0.354,MIA,8460,9595.928,0.415,0.5,-1
PHI,8400,8660.148,0.579,0.341,OKC,8741,8478.88,0.415,0.573,-1
PHO,8831,7592.565,0.579,0.293,SAC,8430,8270.836,0.415,0.39,-1
TOR,8762,8950.711,0.579,0.652,DET,8309,8439.212,0.415,0.451,1
ATL,8459,8465.061,0.579,0.524,WAS,8953,9280.232,0.415,0.573,1
CHI,8435,8133.815,0.579,0.5,BOS,8857,10525.549,0.415,0.646,1
POR,8851,9765.196,0.579,0.518,LAC,8911,9900.701,0.415,0.622,-1
SAC,8430,8270.836,0.579,0.39,SAS,8637,9263.841,0.415,0.744,-1
BRK,8673,8806.689,0.579,0.244,IND,8618,8765.311,0.415,0.512,1
DAL,8029,9366.25,0.579,0.402,HOU,9458,12003.932,0.415,0.671,-1
DET,8309,8439.212,0.579,0.451,ORL,8288,8450.805,0.415,0.354,1
MIA,8460,9595.928,0.579,0.5,CHA,8288,8450.805,0.415,0.354,-1
NOP,8556,8793.823,0.579,0.415,GSW,9503,11055.784,0.415,0.817,-1
OKC,8741,8478.88,0.579,0.573,PHO,8831,7592.565,0.415,0.293,1
TOR,8762,8950.711,0.579,0.652,CLE,9048,11308.396,0.415,0.622,-1
UTA,8258,9223.688,0.579,0.622,LAL,8575,8296.810,0.415,0.317,1
CHI,8435,8133.815,0.579,0.5,IND,8618,8765.311,0.415,0.512,1
CHA,8435,8133.815,0.579,0.5,BOS,8857,10525.549,0.415,0.646,-1
CLE,9048,11308.396,0.579,0.622,ORL,8288,8450.805,0.415,0.354,1
DEN,9161,9770.992,0.579,0.488,POR,8851,9765.196,0.415,0.518,-1
MIL,8497,8835.627,0.579,0.512,BRK,8673,8806.689,0.415,0.244,1
NYK,8556,8710.459,0.579,0.378,MEM,8239,8914.511,0.415,0.524,1
PHI,8400,8660.148,0.579,0.341,ATL,8459,8465.061,0.415,0.524,-1
SAC,8430,8270.836,0.579,0.39,MIN,8657,8256.684,0.415,0.378,1
SAS,8637,9263.841,0.579,0.744,NOP,8556,8793.823,0.415,0.415,1
DET,8309,8439.212,0.579,0.451,MIL,8497,8835.627,0.415,0.512,1
HOU,9458,12003.932,0.579,0.671,DAL,8029,9366.25,0.415,0.402,1
LAC,8911,9900.701,0.579,0.622,UTA,8258,9223.688,0.415,0.622,1
MEM,8239,8914.511,0.579,0.524,WAS,8953,9280.232,0.415,0.573,1
MIA,8460,9595.928,0.579,0.5,SAS,8637,9263.841,0.415,0.744,-1
OKC,8741,8478.88,0.579,0.573,LAL,8575,8296.810,0.415,0.317,1
PHO,8831,7592.565,0.579,0.293,GSW,9503,11055.784,0.415,0.817,-1
ATL,8459,8465.061,0.579,0.524,SAC,8430,8270.836,0.415,0.39,1
BRK,8673,8806.689,0.579,0.244,CHI,8435,8133.815,0.415,0.5,-1
LAC,8911,9900.701,0.579,0.622,PHO,8831,7592.565,0.415,0.293,1
TOR,8762,8950.711,0.579,0.652,DEN,9161,9770.992,0.415,0.488,1
CLE,9048,11308.396,0.579,0.622,HOU,9458,12003.932,0.415,0.671,1
DET,8309,8439.212,0.579,0.451,NYK,8556,8710.459,0.415,0.378,1
IND,8618,8765.311,0.579,0.512,LAL,8575,8296.810,0.415,0.317,1
MIA,8460,9595.928,0.579,0.5,SAC,8430,8270.836,0.415,0.39,1
MIN,8657,8256.684,0.579,0.378,MEM,8239,8914.511,0.415,0.524,1
NOP,8556,8793.823,0.579,0.415,MIL,8497,8835.627,0.415,0.512,-1
PHI,8400,8660.148,0.579,0.341,ORL,8288,8450.805,0.415,0.354,-1
POR,8851,9765.196,0.579,0.518,GSW,9503,11055.784,0.415,0.817,-1
SAS,8637,9263.841,0.579,0.744,UTA,8258,9223.688,0.415,0.622,-1
ATL,8459,8465.061,0.579,0.524,LAL,8575,8296.810,0.415,0.317,-1
BOS,8857,10525.549,0.579,0.646,CHI,8435,8133.815,0.415,0.5,1
BRK,8673,8806.689,0.579,0.244,DET,8309,8439.212,0.415,0.451,1
CHA,8673,8806.689,0.579,0.244,PHI,8400,8660.148,0.415,0.341,1
LAC,8911,9900.701,0.579,0.622,OKC,8741,8478.88,0.415,0.573,-1
MEM,8239,8914.511,0.579,0.524,NOP,8556,8793.823,0.415,0.415,1
NYK,8556,8710.459,0.579,0.378,HOU,9458,12003.932,0.415,0.671,-1
PHO,8831,7592.565,0.579,0.293,POR,8851,9765.196,0.415,0.518,1
UTA,8258,9223.688,0.579,0.622,DAL,8029,9366.25,0.415,0.402,1
WAS,8953,9280.232,0.579,0.573,TOR,8762,8950.711,0.415,0.652,-1
CLE,9048,11308.396,0.579,0.622,BOS,8857,10525.549,0.415,0.646,1
GSW,9503,11055.784,0.579,0.817,OKC,8741,8478.88,0.415,0.573,1
MIL,8497,8835.627,0.579,0.512,IND,8618,8765.311,0.415,0.512,1
MIN,8657,8256.684,0.579,0.378,DEN,9161,9770.992,0.415,0.488,-1
ORL,8288,8450.805,0.579,0.354,SAC,8430,8270.836,0.415,0.39,1
BRK,8673,8806.689,0.579,0.244,CHA,8430,8270.836,0.415,0.39,-1
CHI,8435,8133.815,0.579,0.5,NYK,8556,8710.459,0.415,0.378,-1
DAL,8029,9366.25,0.579,0.402,POR,8851,9765.196,0.415,0.518,-1
LAL,8575,8296.810,0.579,0.317,GSW,9503,11055.784,0.415,0.817,1
MEM,8239,8914.511,0.579,0.524,LAC,8911,9900.701,0.415,0.622,-1
NOP,8556,8793.823,0.579,0.415,PHO,8831,7592.565,0.415,0.293,-1
TOR,8762,8950.711,0.579,0.652,MIA,8460,9595.928,0.415,0.5,1
UTA,8258,9223.688,0.579,0.622,SAS,8637,9263.841,0.415,0.744,-1
WAS,8953,9280.232,0.579,0.573,ATL,8459,8465.061,0.415,0.524,1
ATL,8459,8465.061,0.579,0.524,HOU,9458,12003.932,0.415,0.671,1
DET,8309,8439.212,0.579,0.451,DEN,9161,9770.992,0.415,0.488,1
IND,8618,8765.311,0.579,0.512,CHI,8435,8133.815,0.415,0.5,1
MIL,8497,8835.627,0.579,0.512,SAC,8430,8270.836,0.415,0.39,1
OKC,8741,8478.88,0.579,0.573,MIN,8657,8256.684,0.415,0.378,1
ORL,8288,8450.805,0.579,0.354,WAS,8953,9280.232,0.415,0.573,1
PHI,8400,8660.148,0.579,0.341,CLE,9048,11308.396,0.415,0.622,-1
SAS,8637,9263.841,0.579,0.744,LAC,8911,9900.701,0.415,0.622,-1
BOS,8857,10525.549,0.579,0.646,DEN,9161,9770.992,0.415,0.488,-1
DAL,8029,9366.25,0.579,0.402,MIL,8497,8835.627,0.415,0.512,1
LAL,8575,8296.810,0.579,0.317,PHO,8831,7592.565,0.415,0.293,1
MEM,8239,8914.511,0.579,0.524,POR,8851,9765.196,0.415,0.518,-1
NYK,8556,8710.459,0.579,0.378,UTA,8258,9223.688,0.415,0.622,-1
TOR,8762,8950.711,0.579,0.652,SAC,8430,8270.836,0.415,0.39,-1
CHI,8435,8133.815,0.579,0.5,ORL,8288,8450.805,0.415,0.354,1
CHA,8435,8133.815,0.579,0.5,IND,8618,8765.311,0.415,0.512,1
GSW,9503,11055.784,0.579,0.817,NOP,8556,8793.823,0.415,0.415,1
LAC,8911,9900.701,0.579,0.622,DET,8309,8439.212,0.415,0.451,1
OKC,8741,8478.88,0.579,0.573,MIA,8460,9595.928,0.415,0.5,1
PHI,8400,8660.148,0.579,0.341,UTA,8258,9223.688,0.415,0.622,-1
WAS,8953,9280.232,0.579,0.573,HOU,9458,12003.932,0.415,0.671,-1
BRK,8673,8806.689,0.579,0.244,MIN,8657,8256.684,0.415,0.378,1
CLE,9048,11308.396,0.579,0.622,ATL,8459,8465.061,0.415,0.524,-1
LAL,8575,8296.810,0.579,0.317,DAL,8029,9366.25,0.415,0.402,-1
MEM,8239,8914.511,0.579,0.524,DEN,9161,9770.992,0.415,0.488,1
POR,8851,9765.196,0.579,0.518,PHO,8831,7592.565,0.415,0.293,1
SAC,8430,8270.836,0.579,0.39,NOP,8556,8793.823,0.415,0.415,1
ATL,8459,8465.061,0.579,0.524,CHI,8435,8133.815,0.415,0.5,1
CHA,8459,8465.061,0.579,0.524,UTA,8258,9223.688,0.415,0.622,1
GSW,9503,11055.784,0.579,0.817,DAL,8029,9366.25,0.415,0.402,1
IND,8618,8765.311,0.579,0.512,PHI,8400,8660.148,0.415,0.341,1
LAC,8911,9900.701,0.579,0.622,POR,8851,9765.196,0.415,0.518,1
NYK,8556,8710.459,0.579,0.378,BRK,8673,8806.689,0.415,0.244,1
OKC,8741,8478.88,0.579,0.573,TOR,8762,8950.711,0.415,0.652,-1
ORL,8288,8450.805,0.579,0.354,MIN,8657,8256.684,0.415,0.378,-1
PHO,8831,7592.565,0.579,0.293,DET,8309,8439.212,0.415,0.451,1
SAS,8637,9263.841,0.579,0.744,HOU,9458,12003.932,0.415,0.671,-1
WAS,8953,9280.232,0.579,0.573,BOS,8857,10525.549,0.415,0.646,1
DEN,9161,9770.992,0.579,0.488,GSW,9503,11055.784,0.415,0.817,-1
MIA,8460,9595.928,0.579,0.5,CHI,8435,8133.815,0.415,0.5,-1
MIL,8497,8835.627,0.579,0.512,NOP,8556,8793.823,0.415,0.415,-1
SAC,8430,8270.836,0.579,0.39,LAL,8575,8296.810,0.415,0.317,-1
BOS,8857,10525.549,0.579,0.646,NYK,8556,8710.459,0.415,0.378,1
CHA,8857,10525.549,0.579,0.646,TOR,8762,8950.711,0.415,0.652,-1
OKC,8741,8478.88,0.579,0.573,LAC,8911,9900.701,0.415,0.622,-1
ORL,8288,8450.805,0.579,0.354,UTA,8258,9223.688,0.415,0.622,-1
PHI,8400,8660.148,0.579,0.341,IND,8618,8765.311,0.415,0.512,1
POR,8851,9765.196,0.579,0.518,SAC,8430,8270.836,0.415,0.39,1
SAS,8637,9263.841,0.579,0.744,DET,8309,8439.212,0.415,0.451,1
WAS,8953,9280.232,0.579,0.573,CLE,9048,11308.396,0.415,0.622,-1
ATL,8459,8465.061,0.579,0.524,PHI,8400,8660.148,0.415,0.341,1
CHI,8435,8133.815,0.579,0.5,WAS,8953,9280.232,0.415,0.573,1
DEN,9161,9770.992,0.579,0.488,DET,8309,8439.212,0.415,0.451,-1
HOU,9458,12003.932,0.579,0.671,SAS,8637,9263.841,0.415,0.744,-1
IND,8618,8765.311,0.579,0.512,BOS,8857,10525.549,0.415,0.646,-1
MIA,8460,9595.928,0.579,0.5,UTA,8258,9223.688,0.415,0.622,-1
MIL,8497,8835.627,0.579,0.512,MEM,8239,8914.511,0.415,0.524,1
MIN,8657,8256.684,0.579,0.378,LAC,8911,9900.701,0.415,0.622,-1
NOP,8556,8793.823,0.579,0.415,LAL,8575,8296.810,0.415,0.317,-1
PHO,8831,7592.565,0.579,0.293,BRK,8673,8806.689,0.415,0.244,-1
TOR,8762,8950.711,0.579,0.652,NYK,8556,8710.459,0.415,0.378,1
CLE,9048,11308.396,0.579,0.622,CHA,8556,8710.459,0.415,0.378,1
GSW,9503,11055.784,0.579,0.817,PHO,8831,7592.565,0.415,0.293,1
MIN,8657,8256.684,0.579,0.378,LAL,8575,8296.810,0.415,0.317,1
OKC,8741,8478.88,0.579,0.573,ORL,8288,8450.805,0.415,0.354,-1
POR,8851,9765.196,0.579,0.518,DEN,9161,9770.992,0.415,0.488,1
DET,8309,8439.212,0.579,0.451,OKC,8741,8478.88,0.415,0.573,1
HOU,9458,12003.932,0.579,0.671,PHI,8400,8660.148,0.415,0.341,1
