Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Golden State Warriors,128,Portland Trail Blazers,108,V
New York Knicks,99,San Antonio Spurs,100,H
Toronto Raptors,97,Washington Wizards,88,V
Chicago Bulls,105,Atlanta Hawks,120,H
Brooklyn Nets,89,Detroit Pistons,103,H
Charlotte Hornets,83,Los Angeles Clippers,97,H
Washington Wizards,105,Orlando Magic,99,V
Toronto Raptors,108,Philadelphia 76ers,95,V
Golden State Warriors,128,Sacramento Kings,116,V
Miami Heat,83,Utah Jazz,98,H
Charlotte Hornets,92,Denver Nuggets,95,H
Indiana Pacers,103,Houston Rockets,107,H
New Orleans Pelicans,111,Los Angeles Clippers,114,H
Utah Jazz,86,Los Angeles Lakers,74,V
Boston Celtics,98,Memphis Grizzlies,101,H
Dallas Mavericks,93,Minnesota Timberwolves,87,V
Milwaukee Bucks,88,New York Knicks,100,H
Cleveland Cavaliers,95,Philadelphia 76ers,85,V
Oklahoma City Thunder,110,Portland Trail Blazers,115,H
San Antonio Spurs,106,Brooklyn Nets,79,V
Washington Wizards,114,Chicago Bulls,100,V
Miami Heat,103,Golden State Warriors,111,H
Cleveland Cavaliers,110,Dallas Mavericks,107,V
San Antonio Spurs,109,Detroit Pistons,99,V
Phoenix Suns,97,Indiana Pacers,116,H
New Orleans Pelicans,91,Los Angeles Lakers,95,H
Houston Rockets,107,Memphis Grizzlies,91,V
Chicago Bulls,101,Milwaukee Bucks,106,H
Oklahoma City Thunder,101,Minnesota Timberwolves,96,V
Boston Celtics,114,New York Knicks,120,H
Indiana Pacers,94,Boston Celtics,103,H
New York Knicks,104,Brooklyn Nets,110,H
Atlanta Hawks,84,Charlotte Hornets,107,H
Golden State Warriors,110,Denver Nuggets,112,H
Minnesota Timberwolves,104,Houston Rockets,107,H
Miami Heat,90,Los Angeles Clippers,104,H
Dallas Mavericks,89,Oklahoma City Thunder,108,H
Utah Jazz,85,Portland Trail Blazers,99,H
New Orleans Pelicans,109,Sacramento Kings,97,V
Milwaukee Bucks,101,Washington Wizards,106,H
Los Angeles Lakers,98,Golden State Warriors,116,H
Detroit Pistons,101,Memphis Grizzlies,103,H
Toronto Raptors,106,Orlando Magic,103,V
Chicago Bulls,115,Philadelphia 76ers,111,V
Cleveland Cavaliers,95,San Antonio Spurs,99,H
Sacramento Kings,103,Utah Jazz,101,V
Phoenix Suns,103,Boston Celtics,117,H
Portland Trail Blazers,116,Brooklyn Nets,104,V
Dallas Mavericks,83,Chicago Bulls,77,V
Miami Heat,98,Denver Nuggets,95,V
Cleveland Cavaliers,91,Houston Rockets,77,V
Washington Wizards,118,Indiana Pacers,104,V
Atlanta Hawks,101,Milwaukee Bucks,108,H
Charlotte Hornets,107,New Orleans Pelicans,109,H
Minnesota Timberwolves,93,Oklahoma City Thunder,113,H
Brooklyn Nets,86,Atlanta Hawks,114,H
Milwaukee Bucks,105,Charlotte Hornets,92,V
Golden State Warriors,95,Detroit Pistons,113,H
Sacramento Kings,110,Los Angeles Clippers,103,V
New York Knicks,95,Memphis Grizzlies,103,H
Portland Trail Blazers,89,Philadelphia 76ers,114,H
Los Angeles Lakers,82,Utah Jazz,109,H
Boston Celtics,119,Washington Wizards,117,V
Indiana Pacers,126,Denver Nuggets,129,H
Houston Rockets,112,Los Angeles Lakers,95,V
Phoenix Suns,87,Minnesota Timberwolves,117,H
Miami Heat,74,Oklahoma City Thunder,99,H
Dallas Mavericks,83,San Antonio Spurs,112,H
Orlando Magic,81,Atlanta Hawks,98,H
Utah Jazz,119,Charlotte Hornets,124,H
Golden State Warriors,132,Cleveland Cavaliers,98,V
Boston Celtics,113,Dallas Mavericks,118,H
Chicago Bulls,111,Detroit Pistons,101,V
Houston Rockets,132,Los Angeles Clippers,140,H
New Orleans Pelicans,99,Memphis Grizzlies,101,H
Philadelphia 76ers,113,New York Knicks,119,H
Brooklyn Nets,100,Toronto Raptors,112,H
Portland Trail Blazers,108,Washington Wizards,98,V
Oklahoma City Thunder,110,Denver Nuggets,104,V
Milwaukee Bucks,91,Miami Heat,79,V
Minnesota Timberwolves,99,New Orleans Pelicans,114,H
Indiana Pacers,97,Phoenix Suns,94,V
Cleveland Cavaliers,91,Brooklyn Nets,78,V
Golden State Warriors,125,Chicago Bulls,94,V
Minnesota Timberwolves,94,Dallas Mavericks,106,H
Detroit Pistons,123,Houston Rockets,114,V
Sacramento Kings,112,Los Angeles Lakers,93,V
Utah Jazz,111,New York Knicks,118,H
Charlotte Hornets,95,Oklahoma City Thunder,109,H
Philadelphia 76ers,96,Orlando Magic,87,V
Atlanta Hawks,104,Portland Trail Blazers,98,V
Boston Celtics,109,Toronto Raptors,115,H
Miami Heat,87,Washington Wizards,106,H
Los Angeles Clippers,102,Cleveland Cavaliers,115,H
Memphis Grizzlies,102,Denver Nuggets,101,V
Detroit Pistons,99,New Orleans Pelicans,115,H
San Antonio Spurs,117,Phoenix Suns,89,V
Atlanta Hawks,88,Sacramento Kings,91,H
Chicago Bulls,101,Boston Celtics,110,H
Utah Jazz,108,Brooklyn Nets,86,V
Oklahoma City Thunder,109,Dallas Mavericks,106,V
Indiana Pacers,110,Golden State Warriors,122,H
Milwaukee Bucks,98,Houston Rockets,102,H
San Antonio Spurs,108,Los Angeles Lakers,95,V
Los Angeles Clippers,116,New York Knicks,88,V
Charlotte Hornets,120,Orlando Magic,116,V
Miami Heat,81,Toronto Raptors,101,H
New York Knicks,84,Charlotte Hornets,97,H
Chicago Bulls,96,Cleveland Cavaliers,83,V
Detroit Pistons,101,Denver Nuggets,104,H
Memphis Grizzlies,101,Minnesota Timberwolves,106,H
Milwaukee Bucks,99,New Orleans Pelicans,116,H
Atlanta Hawks,95,Phoenix Suns,98,H
Los Angeles Lakers,103,Portland Trail Blazers,121,H
Indiana Pacers,97,Sacramento Kings,108,H
Oklahoma City Thunder,106,Brooklyn Nets,116,H
Dallas Mavericks,104,Houston Rockets,115,H
Boston Celtics,112,Philadelphia 76ers,92,V
Los Angeles Clippers,94,Toronto Raptors,112,H
Miami Heat,89,Chicago Bulls,84,V
Minnesota Timberwolves,107,Cleveland Cavaliers,114,H
Atlanta Hawks,119,Denver Nuggets,105,V
San Antonio Spurs,90,Golden State Warriors,120,H
Orlando Magic,102,Memphis Grizzlies,108,H
Houston Rockets,112,New Orleans Pelicans,111,V
Charlotte Hornets,129,Sacramento Kings,128,V
Detroit Pistons,95,Utah Jazz,92,V
Boston Celtics,116,Washington Wizards,91,V
Miami Heat,102,Brooklyn Nets,98,V
Los Angeles Clippers,91,Indiana Pacers,89,V
Dallas Mavericks,92,Los Angeles Lakers,90,V
Orlando Magic,100,Milwaukee Bucks,107,H
Oklahoma City Thunder,128,New York Knicks,122,V
Phoenix Suns,103,Philadelphia 76ers,113,H
Sacramento Kings,97,Portland Trail Blazers,112,H
Washington Wizards,89,Toronto Raptors,106,H
Los Angeles Clippers,85,Atlanta Hawks,83,V
Denver Nuggets,103,Boston Celtics,111,H
Phoenix Suns,93,Cleveland Cavaliers,115,H
Philadelphia 76ers,97,Detroit Pistons,110,H
Dallas Mavericks,107,Golden State Warriors,127,H
Oklahoma City Thunder,126,Minnesota Timberwolves,123,V
Houston Rockets,99,San Antonio Spurs,130,H
Charlotte Hornets,73,Utah Jazz,102,H
Atlanta Hawks,92,Indiana Pacers,111,H
Chicago Bulls,114,Los Angeles Lakers,91,V
Milwaukee Bucks,83,Memphis Grizzlies,103,H
Sacramento Kings,105,New Orleans Pelicans,114,H
New York Knicks,93,Toronto Raptors,103,H
Denver Nuggets,117,Washington Wizards,113,V
Orlando Magic,94,Boston Celtics,113,H
Brooklyn Nets,79,Dallas Mavericks,91,H
Cleveland Cavaliers,114,Detroit Pistons,106,V
Los Angeles Lakers,93,Los Angeles Clippers,105,H
Miami Heat,107,Milwaukee Bucks,103,V
Phoenix Suns,84,New York Knicks,102,H
Houston Rockets,108,Oklahoma City Thunder,116,H
Charlotte Hornets,91,Portland Trail Blazers,109,H
Minnesota Timberwolves,90,Utah Jazz,103,H
San Antonio Spurs,103,Cleveland Cavaliers,117,H
Washington Wizards,123,Houston Rockets,122,V
Denver Nuggets,105,Indiana Pacers,109,H
Sacramento Kings,117,Memphis Grizzlies,121,H
Brooklyn Nets,103,New Orleans Pelicans,105,H
Golden State Warriors,108,Philadelphia 76ers,105,V
Detroit Pistons,107,Toronto Raptors,111,H
Phoenix Suns,78,Dallas Mavericks,91,H
Chicago Bulls,93,Los Angeles Clippers,120,H
Charlotte Hornets,101,Los Angeles Lakers,82,V
Atlanta Hawks,87,Miami Heat,105,H
Golden State Warriors,116,New York Knicks,95,V
Boston Celtics,114,Orlando Magic,119,H
Minnesota Timberwolves,93,Portland Trail Blazers,96,H
Dallas Mavericks,97,Atlanta Hawks,112,H
Detroit Pistons,105,Brooklyn Nets,100,V
Toronto Raptors,93,Denver Nuggets,112,H
Cleveland Cavaliers,111,Indiana Pacers,106,V
Memphis Grizzlies,110,New Orleans Pelicans,95,V
Washington Wizards,98,Oklahoma City Thunder,114,H
Milwaukee Bucks,104,Sacramento Kings,111,H
Orlando Magic,92,San Antonio Spurs,107,H
Chicago Bulls,96,Utah Jazz,105,H
Miami Heat,102,Houston Rockets,115,H
Minnesota Timberwolves,115,Los Angeles Lakers,119,H
Boston Celtics,97,New York Knicks,89,V
Toronto Raptors,104,Phoenix Suns,97,V
Milwaukee Bucks,95,Portland Trail Blazers,107,H
Detroit Pistons,95,Boston Celtics,102,H
Indiana Pacers,114,Brooklyn Nets,100,V
Cleveland Cavaliers,97,Charlotte Hornets,106,H
Miami Heat,93,Dallas Mavericks,90,V
Minnesota Timberwolves,108,Los Angeles Clippers,102,V
Orlando Magic,114,Oklahoma City Thunder,117,H
Atlanta Hawks,124,Philadelphia 76ers,86,V
Chicago Bulls,107,Sacramento Kings,102,V
New Orleans Pelicans,97,San Antonio Spurs,110,H
Denver Nuggets,81,Utah Jazz,85,H
Golden State Warriors,134,Washington Wizards,121,V
New York Knicks,105,Detroit Pistons,111,H
Los Angeles Lakers,99,New Orleans Pelicans,96,V
Houston Rockets,111,Phoenix Suns,105,V
Toronto Raptors,110,Portland Trail Blazers,103,V
Indiana Pacers,96,Atlanta Hawks,102,H
Sacramento Kings,119,Brooklyn Nets,128,H
Miami Heat,98,Charlotte Hornets,95,V
Boston Celtics,104,Cleveland Cavaliers,103,V
San Antonio Spurs,116,Dallas Mavericks,90,V
Chicago Bulls,110,Denver Nuggets,115,H
Memphis Grizzlies,91,New York Knicks,85,V
Los Angeles Clippers,107,Orlando Magic,93,V
Milwaukee Bucks,81,Utah Jazz,84,H
Philadelphia 76ers,94,Washington Wizards,106,H
Washington Wizards,104,Charlotte Hornets,108,H
New Orleans Pelicans,84,Cleveland Cavaliers,99,H
Oklahoma City Thunder,108,Golden State Warriors,116,H
Portland Trail Blazers,96,Houston Rockets,79,V
Detroit Pistons,104,Indiana Pacers,112,H
Dallas Mavericks,114,Memphis Grizzlies,110,V
Chicago Bulls,105,Minnesota Timberwolves,112,H
Brooklyn Nets,98,Philadelphia 76ers,103,H
Utah Jazz,98,Phoenix Suns,89,V
Los Angeles Lakers,102,San Antonio Spurs,106,H
Sacramento Kings,119,Boston Celtics,128,H
Los Angeles Clippers,100,Miami Heat,93,V
Denver Nuggets,101,New York Knicks,96,V
Atlanta Hawks,94,Orlando Magic,96,H
Orlando Magic,117,Atlanta Hawks,110,V
Denver Nuggets,104,Brooklyn Nets,105,H
Chicago Bulls,91,Charlotte Hornets,108,H
Sacramento Kings,100,Cleveland Cavaliers,120,H
Toronto Raptors,103,Detroit Pistons,89,V
Los Angeles Lakers,87,Indiana Pacers,89,H
Portland Trail Blazers,112,Memphis Grizzlies,106,V
New Orleans Pelicans,116,Minnesota Timberwolves,102,V
Los Angeles Clippers,98,Philadelphia 76ers,92,V
Oklahoma City Thunder,122,Phoenix Suns,106,V
Utah Jazz,121,Dallas Mavericks,119,V
Houston Rockets,110,Golden State Warriors,123,H
San Antonio Spurs,119,Miami Heat,101,V
Boston Celtics,111,Milwaukee Bucks,112,H
Washington Wizards,111,New York Knicks,108,V
Los Angeles Clippers,134,Boston Celtics,139,H
Memphis Grizzlies,109,Brooklyn Nets,90,V
Atlanta Hawks,113,Chicago Bulls,90,V
Los Angeles Lakers,111,Cleveland Cavaliers,120,H
Denver Nuggets,103,Detroit Pistons,92,V
Charlotte Hornets,117,Indiana Pacers,95,V
Toronto Raptors,112,Minnesota Timberwolves,117,H
Utah Jazz,96,New Orleans Pelicans,100,H
San Antonio Spurs,98,Orlando Magic,96,V
Sacramento Kings,114,Philadelphia 76ers,110,V
Golden State Warriors,112,Phoenix Suns,104,V
Houston Rockets,103,Portland Trail Blazers,116,H
Washington Wizards,92,Milwaukee Bucks,99,H
New Orleans Pelicans,95,Oklahoma City Thunder,121,H
Chicago Bulls,95,Cleveland Cavaliers,106,H
San Antonio Spurs,86,Los Angeles Clippers,105,H
Utah Jazz,89,Washington Wizards,103,H
Miami Heat,115,Atlanta Hawks,111,V
New York Knicks,98,Brooklyn Nets,109,H
Toronto Raptors,106,Chicago Bulls,116,H
San Antonio Spurs,119,Los Angeles Lakers,113,V
Minnesota Timberwolves,104,Memphis Grizzlies,109,H
Charlotte Hornets,98,Milwaukee Bucks,95,V
Philadelphia 76ers,114,New Orleans Pelicans,121,H
Indiana Pacers,101,Oklahoma City Thunder,98,V
Dallas Mavericks,104,Orlando Magic,110,H
Houston Rockets,116,Phoenix Suns,100,V
Golden State Warriors,105,Portland Trail Blazers,137,H
Denver Nuggets,110,Sacramento Kings,116,H
Boston Celtics,93,Utah Jazz,111,H
Detroit Pistons,86,Washington Wizards,98,H
Milwaukee Bucks,117,Atlanta Hawks,109,V
Golden State Warriors,115,Los Angeles Clippers,112,V
Washington Wizards,94,Miami Heat,114,H
New York Knicks,103,Minnesota Timberwolves,95,V
Charlotte Hornets,104,Brooklyn Nets,96,V
Los Angeles Lakers,115,Chicago Bulls,126,H
Philadelphia 76ers,103,Dallas Mavericks,129,H
Boston Celtics,121,Denver Nuggets,101,V
New Orleans Pelicans,111,Detroit Pistons,106,V
Cleveland Cavaliers,115,Oklahoma City Thunder,92,V
Indiana Pacers,105,Orlando Magic,102,V
San Antonio Spurs,118,Phoenix Suns,111,V
Utah Jazz,111,Portland Trail Blazers,115,H
Memphis Grizzlies,85,Toronto Raptors,98,H
Golden State Warriors,102,Atlanta Hawks,92,V
Detroit Pistons,96,Cleveland Cavaliers,88,V
Phoenix Suns,84,Los Angeles Clippers,124,H
Indiana Pacers,93,Miami Heat,101,H
Los Angeles Lakers,101,Milwaukee Bucks,108,H
Boston Celtics,122,Minnesota Timberwolves,124,H
Toronto Raptors,122,New York Knicks,95,V
Sacramento Kings,114,Denver Nuggets,110,V
Orlando Magic,124,Philadelphia 76ers,115,V
Brooklyn Nets,104,Portland Trail Blazers,112,H
Houston Rockets,114,Utah Jazz,117,H
New Orleans Pelicans,89,Washington Wizards,109,H
Washington Wizards,104,Chicago Bulls,109,H
Charlotte Hornets,103,Cleveland Cavaliers,114,H
Oklahoma City Thunder,116,Dallas Mavericks,103,V
Philadelphia 76ers,91,Detroit Pistons,111,H
New York Knicks,105,Indiana Pacers,108,H
Denver Nuggets,87,Los Angeles Clippers,81,V
Los Angeles Lakers,119,Memphis Grizzlies,128,H
Golden State Warriors,118,Miami Heat,112,V
San Antonio Spurs,108,Sacramento Kings,92,V
Minnesota Timberwolves,105,Toronto Raptors,114,H
Milwaukee Bucks,107,Boston Celtics,112,H
Oklahoma City Thunder,119,New Orleans Pelicans,123,H
Golden State Warriors,130,Orlando Magic,114,V
Brooklyn Nets,116,Phoenix Suns,106,V
Houston Rockets,119,Portland Trail Blazers,105,V
San Antonio Spurs,96,Utah Jazz,78,V
Chicago Bulls,88,Atlanta Hawks,103,H
Denver Nuggets,116,Dallas Mavericks,122,H
Charlotte Hornets,96,Indiana Pacers,95,V
Memphis Grizzlies,112,Los Angeles Lakers,95,V
Orlando Magic,95,New York Knicks,108,H
Washington Wizards,103,Philadelphia 76ers,94,V
Los Angeles Clippers,117,Sacramento Kings,107,V
Cleveland Cavaliers,97,Toronto Raptors,99,H
Miami Heat,89,Boston Celtics,101,H
Portland Trail Blazers,103,Chicago Bulls,95,V
San Antonio Spurs,104,Houston Rockets,94,V
Detroit Pistons,102,Milwaukee Bucks,91,V
Minnesota Timberwolves,112,New Orleans Pelicans,110,V
Golden State Warriors,121,Oklahoma City Thunder,118,V
Memphis Grizzlies,106,Phoenix Suns,111,H
Brooklyn Nets,98,Utah Jazz,96,V
Charlotte Hornets,76,Atlanta Hawks,87,H
Minnesota Timberwolves,101,Dallas Mavericks,128,H
Toronto Raptors,101,Detroit Pistons,114,H
Portland Trail Blazers,111,Indiana Pacers,102,V
Miami Heat,98,New York Knicks,81,V
Philadelphia 76ers,116,Orlando Magic,130,H
Cleveland Cavaliers,99,Washington Wizards,113,H
Utah Jazz,95,Boston Celtics,100,H
Indiana Pacers,96,Cleveland Cavaliers,100,H
Memphis Grizzlies,103,Denver Nuggets,96,V
Brooklyn Nets,95,Los Angeles Clippers,105,H
Houston Rockets,121,Milwaukee Bucks,128,H
Oklahoma City Thunder,131,Sacramento Kings,116,V
Philadelphia 76ers,108,Washington Wizards,116,H
Phoenix Suns,92,Charlotte Hornets,126,H
Orlando Magic,108,Dallas Mavericks,121,H
Atlanta Hawks,105,Golden State Warriors,109,H
Brooklyn Nets,101,Los Angeles Lakers,107,H
Chicago Bulls,111,Miami Heat,129,H
Portland Trail Blazers,104,New York Knicks,85,V
Portland Trail Blazers,93,Boston Celtics,116,H
Los Angeles Lakers,107,Denver Nuggets,117,H
New Orleans Pelicans,95,Houston Rockets,100,H
Oklahoma City Thunder,98,Los Angeles Clippers,103,H
Sacramento Kings,98,Memphis Grizzlies,104,H
Indiana Pacers,104,Milwaukee Bucks,99,V
Washington Wizards,104,Minnesota Timberwolves,98,V
Chicago Bulls,89,Orlando Magic,102,H
Charlotte Hornets,119,Philadelphia 76ers,99,V
Detroit Pistons,81,San Antonio Spurs,97,H
Utah Jazz,94,Toronto Raptors,104,H
Sacramento Kings,104,Dallas Mavericks,101,V
Oklahoma City Thunder,106,Golden State Warriors,121,H
Phoenix Suns,92,Miami Heat,108,H
San Antonio Spurs,94,New Orleans Pelicans,86,V
New York Knicks,104,Boston Celtics,105,H
Indiana Pacers,101,Charlotte Hornets,108,H
Washington Wizards,83,Cleveland Cavaliers,108,H
Brooklyn Nets,121,Denver Nuggets,120,V
Atlanta Hawks,106,Los Angeles Lakers,77,V
Utah Jazz,88,Memphis Grizzlies,94,H
Minnesota Timberwolves,101,Milwaukee Bucks,116,H
Phoenix Suns,102,Orlando Magic,84,V
Miami Heat,112,Philadelphia 76ers,102,V
Portland Trail Blazers,115,Toronto Raptors,117,H
Houston Rockets,100,Chicago Bulls,108,H
Boston Celtics,103,Cleveland Cavaliers,120,H
Atlanta Hawks,107,Los Angeles Clippers,97,V
Brooklyn Nets,118,Minnesota Timberwolves,132,H
Utah Jazz,106,New Orleans Pelicans,94,V
Detroit Pistons,89,New York Knicks,102,H
Sacramento Kings,94,San Antonio Spurs,104,H
Indiana Pacers,100,Washington Wizards,99,V
Dallas Mavericks,114,Denver Nuggets,116,H
Portland Trail Blazers,103,Detroit Pistons,123,H
Golden State Warriors,95,Los Angeles Lakers,112,H
Phoenix Suns,109,Memphis Grizzlies,100,V
Philadelphia 76ers,98,Miami Heat,103,H
Oklahoma City Thunder,104,Milwaukee Bucks,96,V
Houston Rockets,113,Toronto Raptors,107,V
Milwaukee Bucks,90,Chicago Bulls,100,H
Minnesota Timberwolves,103,Charlotte Hornets,108,H
Memphis Grizzlies,106,Cleveland Cavaliers,103,V
Los Angeles Clippers,109,Dallas Mavericks,90,V
Orlando Magic,113,Golden State Warriors,119,H
San Antonio Spurs,91,Indiana Pacers,99,H
Sacramento Kings,112,New Orleans Pelicans,115,H
New York Knicks,94,Denver Nuggets,110,H
Orlando Magic,98,Los Angeles Lakers,107,H
San Antonio Spurs,116,Minnesota Timberwolves,91,V
Washington Wizards,109,Portland Trail Blazers,116,H
Brooklyn Nets,99,Toronto Raptors,104,H
Atlanta Hawks,91,Utah Jazz,84,V
Memphis Grizzlies,96,Boston Celtics,116,H
New Orleans Pelicans,113,Charlotte Hornets,122,H
Detroit Pistons,102,Dallas Mavericks,96,V
Utah Jazz,94,Golden State Warriors,115,H
Miami Heat,108,Milwaukee Bucks,114,H
Los Angeles Clippers,108,Oklahoma City Thunder,120,H
Houston Rockets,118,Philadelphia 76ers,104,V
New York Knicks,128,Phoenix Suns,97,V
Cleveland Cavaliers,120,Sacramento Kings,111,V
Phoenix Suns,98,Denver Nuggets,116,H
Cleveland Cavaliers,120,Los Angeles Lakers,108,V
Chicago Bulls,101,San Antonio Spurs,109,H
Atlanta Hawks,96,Toronto Raptors,104,H
Houston Rockets,102,Boston Celtics,98,V
Miami Heat,118,Chicago Bulls,96,V
Detroit Pistons,103,Charlotte Hornets,118,H
Portland Trail Blazers,112,Golden State Warriors,128,H
New York Knicks,94,Los Angeles Clippers,101,H
New Orleans Pelicans,114,Memphis Grizzlies,121,H
Minnesota Timberwolves,99,Oklahoma City Thunder,96,V
Brooklyn Nets,89,Philadelphia 76ers,95,H
Orlando Magic,107,Sacramento Kings,100,V
Washington Wizards,93,Utah Jazz,114,H
Memphis Grizzlies,83,Atlanta Hawks,95,H
Houston Rockets,109,Charlotte Hornets,125,H
Indiana Pacers,112,Dallas Mavericks,105,V
Washington Wizards,100,Denver Nuggets,116,H
Phoenix Suns,116,Golden State Warriors,123,H
New Orleans Pelicans,92,Milwaukee Bucks,103,H
Detroit Pistons,125,Philadelphia 76ers,111,V
Orlando Magic,84,Portland Trail Blazers,121,H
Oklahoma City Thunder,85,San Antonio Spurs,93,H
Miami Heat,104,Toronto Raptors,112,H
Indiana Pacers,75,Atlanta Hawks,104,H
Milwaukee Bucks,109,Brooklyn Nets,100,V
Cleveland Cavaliers,114,Los Angeles Clippers,90,V
New York Knicks,90,Los Angeles Lakers,87,V
Utah Jazz,108,Sacramento Kings,99,V
Dallas Mavericks,107,Charlotte Hornets,96,V
New Orleans Pelicans,107,Golden State Warriors,125,H
Memphis Grizzlies,81,Houston Rockets,130,H
Denver Nuggets,119,Miami Heat,124,H
Portland Trail Blazers,94,Oklahoma City Thunder,128,H
Minnesota Timberwolves,104,Phoenix Suns,107,H
Chicago Bulls,109,Toronto Raptors,107,V
Cleveland Cavaliers,85,Utah Jazz,94,H
Detroit Pistons,81,Washington Wizards,124,H
Philadelphia 76ers,114,Brooklyn Nets,131,H
Boston Celtics,98,Indiana Pacers,103,H
Sacramento Kings,106,Los Angeles Lakers,98,V
Toronto Raptors,107,Milwaukee Bucks,89,V
Denver Nuggets,110,Orlando Magic,116,H
Los Angeles Clippers,87,San Antonio Spurs,108,H
Oklahoma City Thunder,130,Boston Celtics,109,V
Orlando Magic,99,Charlotte Hornets,107,H
Dallas Mavericks,98,Cleveland Cavaliers,99,H
Atlanta Hawks,118,Detroit Pistons,114,V
New York Knicks,85,Golden State Warriors,121,H
Los Angeles Clippers,122,Houston Rockets,106,V
Minnesota Timberwolves,114,Memphis Grizzlies,108,V
New Orleans Pelicans,123,Sacramento Kings,108,V
Chicago Bulls,96,Washington Wizards,117,H
Denver Nuggets,98,Atlanta Hawks,116,H
Brooklyn Nets,102,Chicago Bulls,118,H
Toronto Raptors,101,Indiana Pacers,94,V
Charlotte Hornets,109,Miami Heat,106,V
Memphis Grizzlies,86,Milwaukee Bucks,96,H
Washington Wizards,99,Philadelphia 76ers,94,V
Portland Trail Blazers,110,San Antonio Spurs,118,H
Phoenix Suns,69,Utah Jazz,103,H
Golden State Warriors,130,Dallas Mavericks,112,V
Sacramento Kings,108,Detroit Pistons,115,H
Minnesota Timberwolves,111,Houston Rockets,116,H
Phoenix Suns,95,Los Angeles Lakers,90,V
Portland Trail Blazers,117,New Orleans Pelicans,112,V
Cleveland Cavaliers,109,Orlando Magic,103,V
Oklahoma City Thunder,111,Philadelphia 76ers,97,V
Boston Celtics,91,Toronto Raptors,105,H
Houston Rockets,97,Atlanta Hawks,109,H
Utah Jazz,85,Chicago Bulls,92,H
Denver Nuggets,101,Charlotte Hornets,93,V
Brooklyn Nets,103,Detroit Pistons,115,H
Oklahoma City Thunder,115,Indiana Pacers,111,V
Los Angeles Clippers,102,Memphis Grizzlies,113,H
Cleveland Cavaliers,101,Miami Heat,122,H
Golden State Warriors,79,San Antonio Spurs,87,H
New York Knicks,89,Washington Wizards,99,H
Portland Trail Blazers,120,Dallas Mavericks,132,H
Utah Jazz,94,Milwaukee Bucks,85,V
Los Angeles Clippers,105,New Orleans Pelicans,109,H
Sacramento Kings,88,New York Knicks,80,V
Boston Celtics,120,Philadelphia 76ers,105,V
Orlando Magic,100,Toronto Raptors,105,H
Washington Wizards,117,Atlanta Hawks,102,V
Orlando Magic,96,Boston Celtics,107,H
Sacramento Kings,102,Chicago Bulls,109,H
San Antonio Spurs,88,Charlotte Hornets,91,H
Denver Nuggets,91,Cleveland Cavaliers,124,H
Milwaukee Bucks,91,Detroit Pistons,92,H
Philadelphia 76ers,75,Indiana Pacers,91,H
Golden State Warriors,109,Minnesota Timberwolves,104,V
Memphis Grizzlies,103,Phoenix Suns,97,V
Charlotte Hornets,105,Brooklyn Nets,100,V
Memphis Grizzlies,100,Los Angeles Lakers,107,H
Miami Heat,113,New Orleans Pelicans,99,V
Houston Rockets,107,Oklahoma City Thunder,111,H
Toronto Raptors,79,Boston Celtics,91,H
New York Knicks,115,Chicago Bulls,107,V
Milwaukee Bucks,104,Cleveland Cavaliers,113,H
Philadelphia 76ers,103,Denver Nuggets,104,H
Orlando Magic,102,Detroit Pistons,118,H
Los Angeles Clippers,98,Golden State Warriors,114,H
Utah Jazz,89,Houston Rockets,87,V
Sacramento Kings,104,Minnesota Timberwolves,113,H
Los Angeles Lakers,107,Phoenix Suns,119,H
Dallas Mavericks,103,Portland Trail Blazers,109,H
Miami Heat,88,San Antonio Spurs,112,H
Atlanta Hawks,122,Washington Wizards,101,V
Cleveland Cavaliers,95,Brooklyn Nets,104,H
New Orleans Pelicans,84,Indiana Pacers,92,H
Portland Trail Blazers,94,Los Angeles Clippers,96,H
Chicago Bulls,94,New York Knicks,106,H
Utah Jazz,91,Oklahoma City Thunder,113,H
Milwaukee Bucks,90,Atlanta Hawks,101,H
Charlotte Hornets,105,Detroit Pistons,112,H
Dallas Mavericks,120,Golden State Warriors,128,H
Toronto Raptors,109,Houston Rockets,112,H
Denver Nuggets,116,Los Angeles Lakers,105,V
Orlando Magic,97,Miami Heat,108,H
Phoenix Suns,94,Sacramento Kings,116,H
Memphis Grizzlies,104,San Antonio Spurs,110,H
Minnesota Timberwolves,132,Washington Wizards,129,V
Indiana Pacers,110,Brooklyn Nets,120,H
Atlanta Hawks,112,Detroit Pistons,95,V
Charlotte Hornets,115,Milwaukee Bucks,91,V
Utah Jazz,93,Minnesota Timberwolves,84,V
Toronto Raptors,115,New Orleans Pelicans,91,V
Cleveland Cavaliers,107,New York Knicks,93,V
San Antonio Spurs,92,Oklahoma City Thunder,111,H
Chicago Bulls,89,Orlando Magic,111,H
Boston Celtics,102,Phoenix Suns,99,V
Philadelphia 76ers,105,Portland Trail Blazers,108,H
Philadelphia 76ers,105,Golden State Warriors,117,H
Houston Rockets,101,Indiana Pacers,104,H
Denver Nuggets,90,Los Angeles Clippers,105,H
Washington Wizards,101,Los Angeles Lakers,88,V
Dallas Mavericks,111,Sacramento Kings,133,H
Atlanta Hawks,102,Chicago Bulls,100,V
Dallas Mavericks,97,Denver Nuggets,88,V
Boston Celtics,90,Los Angeles Clippers,114,H
