Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Los Angeles Clippers,104,Phoenix Suns,118,H
Atlanta Hawks,93,Boston Celtics,106,H
Charlotte Hornets,97,Chicago Bulls,102,H
Los Angeles Lakers,82,Dallas Mavericks,90,H
Houston Rockets,98,Denver Nuggets,107,H
Minnesota Timberwolves,103,Indiana Pacers,107,H
Portland Trail Blazers,100,Memphis Grizzlies,101,H
Cleveland Cavaliers,90,New York Knicks,84,V
Philadelphia 76ers,85,Oklahoma City Thunder,102,H
Utah Jazz,93,Orlando Magic,102,H
Brooklyn Nets,109,Sacramento Kings,111,H
New Orleans Pelicans,81,Toronto Raptors,100,H
Brooklyn Nets,99,Golden State Warriors,107,H
Dallas Mavericks,110,Houston Rockets,98,V
Detroit Pistons,96,Los Angeles Clippers,101,H
Cleveland Cavaliers,105,Milwaukee Bucks,108,H
Denver Nuggets,81,Phoenix Suns,105,H
Philadelphia 76ers,83,San Antonio Spurs,92,H
Orlando Magic,99,Washington Wizards,108,H
Utah Jazz,97,Atlanta Hawks,96,V
Portland Trail Blazers,94,Charlotte Hornets,106,H
Detroit Pistons,85,Los Angeles Lakers,97,H
Memphis Grizzlies,114,Minnesota Timberwolves,106,V
New Orleans Pelicans,87,New York Knicks,95,H
Boston Celtics,100,Oklahoma City Thunder,85,V
Toronto Raptors,101,Sacramento Kings,107,H
Indiana Pacers,95,Chicago Bulls,96,H
Boston Celtics,111,Houston Rockets,95,V
Oklahoma City Thunder,114,Memphis Grizzlies,122,H
Dallas Mavericks,92,Philadelphia 76ers,86,V
Los Angeles Lakers,101,Phoenix Suns,120,H
Portland Trail Blazers,80,San Antonio Spurs,93,H
Atlanta Hawks,88,Brooklyn Nets,90,H
Cleveland Cavaliers,99,Detroit Pistons,104,H
Toronto Raptors,110,Golden State Warriors,115,H
Minnesota Timberwolves,103,Miami Heat,91,V
Denver Nuggets,115,New Orleans Pelicans,98,V
Charlotte Hornets,94,New York Knicks,102,H
Milwaukee Bucks,86,Washington Wizards,115,H
Sacramento Kings,97,Atlanta Hawks,103,H
Dallas Mavericks,106,Boston Celtics,102,V
Brooklyn Nets,111,Charlotte Hornets,116,H
Portland Trail Blazers,103,Houston Rockets,108,H
New Orleans Pelicans,103,Oklahoma City Thunder,110,H
Minnesota Timberwolves,101,Orlando Magic,104,H
Indiana Pacers,112,Philadelphia 76ers,85,V
Chicago Bulls,103,Phoenix Suns,97,V
Denver Nuggets,98,San Antonio Spurs,109,H
Toronto Raptors,89,Utah Jazz,93,H
Milwaukee Bucks,100,Cleveland Cavaliers,115,H
Golden State Warriors,124,Los Angeles Clippers,117,V
Sacramento Kings,109,Miami Heat,116,H
Brooklyn Nets,95,Boston Celtics,120,H
Philadelphia 76ers,88,Charlotte Hornets,113,H
Utah Jazz,93,Dallas Mavericks,102,H
Phoenix Suns,114,Denver Nuggets,107,V
Chicago Bulls,94,Golden State Warriors,106,H
Toronto Raptors,102,Los Angeles Lakers,91,V
Houston Rockets,84,Memphis Grizzlies,96,H
Detroit Pistons,96,Minnesota Timberwolves,86,V
San Antonio Spurs,90,New Orleans Pelicans,104,H
New York Knicks,93,Oklahoma City Thunder,90,V
Los Angeles Clippers,91,Portland Trail Blazers,102,H
Atlanta Hawks,97,Cleveland Cavaliers,109,H
Washington Wizards,97,Detroit Pistons,95,V
New York Knicks,107,Houston Rockets,102,V
Milwaukee Bucks,86,Indiana Pacers,123,H
Philadelphia 76ers,91,Miami Heat,96,H
Sacramento Kings,97,Orlando Magic,91,V
Memphis Grizzlies,82,San Antonio Spurs,92,H
Boston Celtics,101,Brooklyn Nets,111,H
Golden State Warriors,118,Denver Nuggets,105,V
Toronto Raptors,91,Los Angeles Clippers,80,V
Portland Trail Blazers,107,Los Angeles Lakers,93,V
Phoenix Suns,116,New Orleans Pelicans,122,H
Dallas Mavericks,114,Oklahoma City Thunder,117,H
Sacramento Kings,122,Charlotte Hornets,127,H
Orlando Magic,103,Cleveland Cavaliers,117,H
New York Knicks,78,Miami Heat,95,H
Detroit Pistons,88,Milwaukee Bucks,109,H
Philadelphia 76ers,95,Minnesota Timberwolves,100,H
Phoenix Suns,84,San Antonio Spurs,98,H
Oklahoma City Thunder,111,Utah Jazz,89,V
Boston Celtics,97,Atlanta Hawks,121,H
Los Angeles Clippers,111,Denver Nuggets,94,V
Los Angeles Lakers,77,Golden State Warriors,111,H
Dallas Mavericks,96,Memphis Grizzlies,110,H
Chicago Bulls,93,Portland Trail Blazers,88,V
Indiana Pacers,123,Washington Wizards,106,V
Philadelphia 76ers,80,Boston Celtics,84,H
Washington Wizards,87,Charlotte Hornets,101,H
Miami Heat,81,Detroit Pistons,104,H
Memphis Grizzlies,102,Houston Rockets,93,V
Utah Jazz,102,Los Angeles Clippers,91,V
Sacramento Kings,129,Milwaukee Bucks,118,V
Atlanta Hawks,95,Minnesota Timberwolves,99,H
Brooklyn Nets,99,Oklahoma City Thunder,110,H
New York Knicks,91,Orlando Magic,100,H
New Orleans Pelicans,120,Phoenix Suns,114,V
Dallas Mavericks,83,San Antonio Spurs,88,H
Cleveland Cavaliers,99,Toronto Raptors,103,H
Washington Wizards,78,Boston Celtics,111,H
Cleveland Cavaliers,95,Charlotte Hornets,90,V
San Antonio Spurs,91,Denver Nuggets,80,V
Philadelphia 76ers,114,Houston Rockets,116,H
Chicago Bulls,92,Indiana Pacers,104,H
