Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Detroit Pistons,106,Denver Nuggets,95,V
San Antonio Spurs,106,Houston Rockets,100,V
Boston Celtics,105,Indiana Pacers,99,V
Utah Jazz,102,Miami Heat,91,V
Memphis Grizzlies,96,Milwaukee Bucks,106,H
Los Angeles Clippers,119,Minnesota Timberwolves,105,V
Los Angeles Lakers,126,New Orleans Pelicans,99,V
Brooklyn Nets,122,Phoenix Suns,104,V
New York Knicks,107,Toronto Raptors,118,H
Charlotte Hornets,93,Cleveland Cavaliers,100,H
Phoenix Suns,120,Golden State Warriors,133,H
Los Angeles Lakers,99,Minnesota Timberwolves,125,H
Orlando Magic,119,Oklahoma City Thunder,117,V
Denver Nuggets,105,Portland Trail Blazers,112,H
Oklahoma City Thunder,88,Detroit Pistons,104,H
Philadelphia 76ers,88,Houston Rockets,115,H
Orlando Magic,69,Indiana Pacers,88,H
Brooklyn Nets,95,Los Angeles Clippers,127,H
Boston Celtics,105,New Orleans Pelicans,106,H
Dallas Mavericks,77,New York Knicks,93,H
Miami Heat,90,San Antonio Spurs,94,H
Memphis Grizzlies,102,Utah Jazz,96,V
Toronto Raptors,117,Cleveland Cavaliers,121,H
Brooklyn Nets,118,Los Angeles Lakers,125,H
Atlanta Hawks,93,Miami Heat,90,V
Charlotte Hornets,115,Minnesota Timberwolves,108,V
Chicago Bulls,113,Portland Trail Blazers,88,V
Milwaukee Bucks,100,Atlanta Hawks,107,H
Dallas Mavericks,83,Boston Celtics,90,H
Phoenix Suns,104,Denver Nuggets,120,H
Cleveland Cavaliers,93,Indiana Pacers,103,H
Memphis Grizzlies,111,Los Angeles Clippers,107,V
Detroit Pistons,102,New York Knicks,105,H
Houston Rockets,103,Oklahoma City Thunder,105,H
New Orleans Pelicans,82,Orlando Magic,89,H
Washington Wizards,102,Philadelphia 76ers,109,H
San Antonio Spurs,110,Sacramento Kings,105,V
Golden State Warriors,127,Toronto Raptors,121,V
Portland Trail Blazers,109,Houston Rockets,126,H
Milwaukee Bucks,73,Miami Heat,96,H
Philadelphia 76ers,86,Minnesota Timberwolves,110,H
Chicago Bulls,85,Utah Jazz,77,V
New York Knicks,112,Washington Wizards,119,H
Golden State Warriors,104,Boston Celtics,88,V
Atlanta Hawks,96,Charlotte Hornets,100,H
Detroit Pistons,81,Cleveland Cavaliers,104,H
Memphis Grizzlies,80,Dallas Mavericks,64,V
Toronto Raptors,113,Denver Nuggets,111,V
Phoenix Suns,116,Indiana Pacers,96,V
San Antonio Spurs,116,Los Angeles Lakers,107,V
Portland Trail Blazers,101,New Orleans Pelicans,113,H
Brooklyn Nets,105,Oklahoma City Thunder,124,H
Los Angeles Clippers,121,Sacramento Kings,115,V
Boston Celtics,94,Detroit Pistons,92,V
Utah Jazz,102,Houston Rockets,111,H
Chicago Bulls,95,Los Angeles Clippers,102,H
Minnesota Timberwolves,71,Memphis Grizzlies,93,H
Golden State Warriors,124,Milwaukee Bucks,121,V
Charlotte Hornets,116,New Orleans Pelicans,121,H
Dallas Mavericks,87,Orlando Magic,95,H
Phoenix Suns,105,Philadelphia 76ers,120,H
Miami Heat,114,Washington Wizards,111,V
Portland Trail Blazers,129,Brooklyn Nets,109,V
Utah Jazz,91,Denver Nuggets,105,H
Chicago Bulls,118,Los Angeles Lakers,110,V
Atlanta Hawks,94,New York Knicks,104,H
Indiana Pacers,115,Oklahoma City Thunder,111,V
Toronto Raptors,99,Sacramento Kings,102,H
Memphis Grizzlies,105,Charlotte Hornets,90,V
Houston Rockets,99,Detroit Pistons,96,V
Golden State Warriors,120,Indiana Pacers,83,V
Toronto Raptors,115,Los Angeles Clippers,123,H
Orlando Magic,89,Milwaukee Bucks,93,H
Boston Celtics,99,Minnesota Timberwolves,93,V
Miami Heat,94,Philadelphia 76ers,101,H
Dallas Mavericks,91,San Antonio Spurs,96,H
Phoenix Suns,101,Washington Wizards,106,H
New Orleans Pelicans,112,Atlanta Hawks,94,V
Chicago Bulls,107,Denver Nuggets,110,H
Oklahoma City Thunder,109,Los Angeles Lakers,111,H
Portland Trail Blazers,103,New York Knicks,107,H
Boston Celtics,111,Brooklyn Nets,92,V
San Antonio Spurs,119,Charlotte Hornets,114,V
Portland Trail Blazers,125,Cleveland Cavaliers,137,H
Los Angeles Clippers,124,Dallas Mavericks,104,V
Miami Heat,84,Detroit Pistons,107,H
Los Angeles Lakers,106,Golden State Warriors,149,H
Toronto Raptors,115,Houston Rockets,102,V
Atlanta Hawks,96,Indiana Pacers,85,V
Minnesota Timberwolves,96,New Orleans Pelicans,117,H
Phoenix Suns,92,Orlando Magic,87,V
Memphis Grizzlies,104,Philadelphia 76ers,99,V
Oklahoma City Thunder,101,Sacramento Kings,116,H
Denver Nuggets,83,Utah Jazz,108,H
San Antonio Spurs,109,Boston Celtics,103,V
Dallas Mavericks,90,Cleveland Cavaliers,128,H
Oklahoma City Thunder,132,Denver Nuggets,129,V
Los Angeles Clippers,97,Detroit Pistons,108,H
Brooklyn Nets,97,Indiana Pacers,118,H
Golden State Warriors,109,Los Angeles Lakers,85,V
Miami Heat,90,Memphis Grizzlies,81,V
Toronto Raptors,105,Milwaukee Bucks,99,V
Charlotte Hornets,111,New York Knicks,113,H
Washington Wizards,94,Orlando Magic,91,V
Chicago Bulls,105,Philadelphia 76ers,89,V
Minnesota Timberwolves,98,Phoenix Suns,85,V
New Orleans Pelicans,104,Portland Trail Blazers,119,H
Houston Rockets,117,Sacramento Kings,104,V
Atlanta Hawks,68,Utah Jazz,95,H
New York Knicks,102,Charlotte Hornets,107,H
Minnesota Timberwolves,102,Golden State Warriors,115,H
Memphis Grizzlies,110,Miami Heat,107,V
Detroit Pistons,88,Oklahoma City Thunder,106,H
San Antonio Spurs,112,Washington Wizards,100,V
Sacramento Kings,122,Brooklyn Nets,105,V
New Orleans Pelicans,81,Dallas Mavericks,91,H
Los Angeles Clippers,70,Indiana Pacers,91,H
Atlanta Hawks,94,Los Angeles Lakers,109,H
Milwaukee Bucks,104,Orlando Magic,96,V
Cleveland Cavaliers,112,Philadelphia 76ers,108,V
Denver Nuggets,120,Phoenix Suns,114,V
Houston Rockets,130,Portland Trail Blazers,114,V
Atlanta Hawks,100,Golden State Warriors,105,H
Charlotte Hornets,104,Memphis Grizzlies,85,V
Boston Celtics,112,Miami Heat,104,V
Utah Jazz,112,Minnesota Timberwolves,103,V
Oklahoma City Thunder,112,New York Knicks,103,V
Philadelphia 76ers,95,Toronto Raptors,122,H
Sacramento Kings,95,Washington Wizards,101,H
Los Angeles Clippers,122,Brooklyn Nets,127,H
Detroit Pistons,112,Charlotte Hornets,89,V
Cleveland Cavaliers,101,Milwaukee Bucks,118,H
Los Angeles Lakers,88,New Orleans Pelicans,105,H
Orlando Magic,95,San Antonio Spurs,83,V
Houston Rockets,101,Utah Jazz,120,H
Detroit Pistons,121,Boston Celtics,114,V
Los Angeles Lakers,96,Chicago Bulls,90,V
San Antonio Spurs,94,Dallas Mavericks,87,V
Miami Heat,106,Denver Nuggets,98,V
New York Knicks,106,Minnesota Timberwolves,104,V
Washington Wizards,115,Oklahoma City Thunder,126,H
Atlanta Hawks,107,Phoenix Suns,109,H
Indiana Pacers,109,Portland Trail Blazers,131,H
Memphis Grizzlies,105,Toronto Raptors,120,H
Milwaukee Bucks,111,Brooklyn Nets,93,V
Dallas Mavericks,87,Charlotte Hornets,97,H
Los Angeles Clippers,113,Cleveland Cavaliers,94,V
Houston Rockets,132,Golden State Warriors,127,V
Orlando Magic,94,Memphis Grizzlies,95,H
Miami Heat,111,Utah Jazz,110,V
Detroit Pistons,121,Atlanta Hawks,85,V
Sacramento Kings,92,Boston Celtics,97,H
Cleveland Cavaliers,105,Chicago Bulls,111,H
Houston Rockets,128,Denver Nuggets,110,V
Los Angeles Clippers,114,New Orleans Pelicans,96,V
Minnesota Timberwolves,114,New York Knicks,118,H
Orlando Magic,105,Philadelphia 76ers,88,V
Washington Wizards,105,San Antonio Spurs,107,H
Los Angeles Lakers,80,Toronto Raptors,113,H
Minnesota Timberwolves,125,Charlotte Hornets,120,V
Chicago Bulls,82,Dallas Mavericks,107,H
Phoenix Suns,109,Golden State Warriors,138,H
Los Angeles Lakers,100,Memphis Grizzlies,103,H
Brooklyn Nets,103,Milwaukee Bucks,112,H
Boston Celtics,107,Philadelphia 76ers,106,V
Miami Heat,92,Portland Trail Blazers,99,H
Atlanta Hawks,84,Toronto Raptors,128,H
Denver Nuggets,98,Utah Jazz,105,H
Orlando Magic,98,Detroit Pistons,92,V
Indiana Pacers,111,Los Angeles Clippers,102,V
Sacramento Kings,98,New York Knicks,106,H
New Orleans Pelicans,92,Oklahoma City Thunder,101,H
Oklahoma City Thunder,102,Atlanta Hawks,99,V
Washington Wizards,118,Brooklyn Nets,113,V
Portland Trail Blazers,112,Chicago Bulls,110,V
Charlotte Hornets,109,Dallas Mavericks,101,V
Indiana Pacers,106,Golden State Warriors,142,H
Boston Celtics,106,Houston Rockets,107,H
Utah Jazz,107,Los Angeles Lakers,101,V
San Antonio Spurs,97,Milwaukee Bucks,96,V
Memphis Grizzlies,110,New Orleans Pelicans,108,V
Denver Nuggets,106,Philadelphia 76ers,98,V
Cleveland Cavaliers,116,Toronto Raptors,112,V
Chicago Bulls,91,Detroit Pistons,102,H
Philadelphia 76ers,91,Memphis Grizzlies,96,H
New York Knicks,114,Miami Heat,103,V
San Antonio Spurs,105,Minnesota Timberwolves,91,V
Phoenix Suns,105,Utah Jazz,112,H
Orlando Magic,124,Washington Wizards,116,V
Miami Heat,95,Atlanta Hawks,103,H
Denver Nuggets,111,Brooklyn Nets,116,H
Detroit Pistons,77,Charlotte Hornets,87,H
Sacramento Kings,120,Dallas Mavericks,89,V
Los Angeles Lakers,95,Houston Rockets,134,H
Golden State Warriors,115,Los Angeles Clippers,98,V
Portland Trail Blazers,107,Milwaukee Bucks,115,H
Cleveland Cavaliers,126,New York Knicks,94,V
Boston Celtics,117,Orlando Magic,87,V
Indiana Pacers,109,Phoenix Suns,94,V
San Antonio Spurs,91,Chicago Bulls,95,H
Portland Trail Blazers,86,Memphis Grizzlies,88,H
Philadelphia 76ers,99,New Orleans Pelicans,88,V
Minnesota Timberwolves,110,Toronto Raptors,124,H
Golden State Warriors,106,Utah Jazz,99,V
Denver Nuggets,85,Washington Wizards,92,H
Toronto Raptors,101,Boston Celtics,94,V
Orlando Magic,88,Charlotte Hornets,109,H
Miami Heat,84,Cleveland Cavaliers,114,H
Indiana Pacers,103,Dallas Mavericks,111,H
Phoenix Suns,119,Los Angeles Lakers,115,V
Atlanta Hawks,114,Milwaukee Bucks,110,V
Detroit Pistons,117,Minnesota Timberwolves,90,V
Houston Rockets,102,Oklahoma City Thunder,99,V
New York Knicks,103,Sacramento Kings,100,V
Miami Heat,100,Chicago Bulls,105,H
Charlotte Hornets,105,Cleveland Cavaliers,116,H
Dallas Mavericks,87,Houston Rockets,109,H
Portland Trail Blazers,111,Indiana Pacers,118,H
New Orleans Pelicans,105,Los Angeles Clippers,133,H
Golden State Warriors,89,Memphis Grizzlies,110,H
Denver Nuggets,121,Orlando Magic,113,V
Brooklyn Nets,101,San Antonio Spurs,130,H
Sacramento Kings,84,Utah Jazz,104,H
Milwaukee Bucks,105,Washington Wizards,110,H
Philadelphia 76ers,97,Detroit Pistons,79,V
New York Knicks,118,Los Angeles Lakers,112,V
Golden State Warriors,116,Minnesota Timberwolves,108,V
Boston Celtics,96,Oklahoma City Thunder,99,H
New Orleans Pelicans,120,Phoenix Suns,119,V
Denver Nuggets,92,Dallas Mavericks,112,H
Brooklyn Nets,118,Houston Rockets,122,H
Charlotte Hornets,94,Indiana Pacers,110,H
Portland Trail Blazers,120,Los Angeles Clippers,121,H
Washington Wizards,101,Miami Heat,112,H
Los Angeles Lakers,92,Sacramento Kings,116,H
Milwaukee Bucks,100,Toronto Raptors,122,H
Orlando Magic,131,Atlanta Hawks,120,V
Minnesota Timberwolves,99,Chicago Bulls,94,V
Memphis Grizzlies,86,Cleveland Cavaliers,103,H
Golden State Warriors,113,New Orleans Pelicans,109,V
New York Knicks,111,Phoenix Suns,113,H
Oklahoma City Thunder,95,Portland Trail Blazers,114,H
Los Angeles Lakers,97,Brooklyn Nets,107,H
Detroit Pistons,95,Dallas Mavericks,85,V
Sacramento Kings,98,Houston Rockets,132,H
Cleveland Cavaliers,85,Memphis Grizzlies,93,H
Indiana Pacers,89,Miami Heat,95,H
Los Angeles Clippers,113,Orlando Magic,108,V
Toronto Raptors,123,Philadelphia 76ers,114,V
Boston Celtics,101,San Antonio Spurs,108,H
Oklahoma City Thunder,89,Utah Jazz,109,H
Charlotte Hornets,106,Washington Wizards,109,H
Portland Trail Blazers,120,Denver Nuggets,132,H
New York Knicks,90,Golden State Warriors,103,H
Chicago Bulls,97,Milwaukee Bucks,108,H
Indiana Pacers,95,New Orleans Pelicans,102,H
San Antonio Spurs,107,Phoenix Suns,92,V
Charlotte Hornets,88,Boston Celtics,96,H
Milwaukee Bucks,95,Chicago Bulls,69,V
New Orleans Pelicans,100,Houston Rockets,122,H
Sacramento Kings,96,Memphis Grizzlies,92,V
Los Angeles Clippers,102,Miami Heat,98,V
Brooklyn Nets,111,Orlando Magic,118,H
Los Angeles Lakers,100,Philadelphia 76ers,89,V
Atlanta Hawks,125,Toronto Raptors,121,V
Dallas Mavericks,100,Utah Jazz,103,H
Detroit Pistons,108,Washington Wizards,122,H
Charlotte Hornets,107,Atlanta Hawks,99,V
Los Angeles Lakers,108,Cleveland Cavaliers,119,H
New York Knicks,114,Denver Nuggets,127,H
Indiana Pacers,105,Detroit Pistons,90,V
Portland Trail Blazers,90,Golden State Warriors,135,H
Houston Rockets,111,Minnesota Timberwolves,109,V
Phoenix Suns,101,Oklahoma City Thunder,114,H
Sacramento Kings,79,Dallas Mavericks,99,H
Utah Jazz,82,Memphis Grizzlies,73,V
Boston Celtics,105,Miami Heat,95,V
Toronto Raptors,109,Orlando Magic,79,V
Brooklyn Nets,107,Philadelphia 76ers,108,H
New Orleans Pelicans,100,San Antonio Spurs,113,H
Los Angeles Clippers,110,Washington Wizards,117,H
Detroit Pistons,82,Chicago Bulls,113,H
Dallas Mavericks,107,Denver Nuggets,117,H
Washington Wizards,105,Indiana Pacers,107,H
Phoenix Suns,108,Minnesota Timberwolves,115,H
Atlanta Hawks,110,Oklahoma City Thunder,108,V
Los Angeles Lakers,113,Charlotte Hornets,117,H
Utah Jazz,74,Golden State Warriors,104,H
San Antonio Spurs,102,Houston Rockets,100,V
Denver Nuggets,102,Los Angeles Clippers,119,H
Boston Celtics,112,Memphis Grizzlies,109,V
Orlando Magic,136,Miami Heat,130,V
Cleveland Cavaliers,114,Milwaukee Bucks,108,V
Indiana Pacers,111,New York Knicks,118,H
New Orleans Pelicans,108,Philadelphia 76ers,93,V
Portland Trail Blazers,121,Sacramento Kings,126,H
Brooklyn Nets,104,Toronto Raptors,116,H
Minnesota Timberwolves,92,Atlanta Hawks,84,V
Washington Wizards,107,Chicago Bulls,97,V
Milwaukee Bucks,102,Cleveland Cavaliers,113,H
Memphis Grizzlies,98,Detroit Pistons,86,V
Oklahoma City Thunder,121,New Orleans Pelicans,110,V
Houston Rockets,125,Phoenix Suns,111,V
Dallas Mavericks,96,Portland Trail Blazers,95,V
Sacramento Kings,94,Utah Jazz,93,V
Golden State Warriors,117,Brooklyn Nets,101,V
Boston Celtics,109,Indiana Pacers,102,V
San Antonio Spurs,101,Los Angeles Clippers,106,H
Los Angeles Lakers,107,Miami Heat,115,H
Orlando Magic,95,New York Knicks,106,H
Oklahoma City Thunder,117,Boston Celtics,112,V
Chicago Bulls,91,Charlotte Hornets,103,H
Brooklyn Nets,99,Cleveland Cavaliers,119,H
Atlanta Hawks,109,Denver Nuggets,108,V
Golden State Warriors,119,Detroit Pistons,113,V
Dallas Mavericks,90,Los Angeles Clippers,88,V
Houston Rockets,109,Memphis Grizzlies,115,H
Washington Wizards,96,Milwaukee Bucks,123,H
Sacramento Kings,109,Minnesota Timberwolves,105,V
Miami Heat,87,New Orleans Pelicans,91,H
Los Angeles Lakers,90,Orlando Magic,109,H
Philadelphia 76ers,116,Phoenix Suns,123,H
San Antonio Spurs,110,Portland Trail Blazers,90,V
Toronto Raptors,104,Utah Jazz,98,V
Golden State Warriors,108,Cleveland Cavaliers,109,H
Los Angeles Clippers,102,Los Angeles Lakers,111,H
Boston Celtics,119,New York Knicks,114,V
Minnesota Timberwolves,100,Oklahoma City Thunder,112,H
Chicago Bulls,100,San Antonio Spurs,119,H
Charlotte Hornets,118,Brooklyn Nets,120,H
Indiana Pacers,85,Chicago Bulls,90,H
Cleveland Cavaliers,90,Detroit Pistons,106,H
Phoenix Suns,115,Houston Rockets,131,H
Denver Nuggets,106,Los Angeles Clippers,102,V
Atlanta Hawks,90,Minnesota Timberwolves,104,H
Dallas Mavericks,104,New Orleans Pelicans,111,H
Memphis Grizzlies,102,Orlando Magic,112,H
Toronto Raptors,95,Portland Trail Blazers,91,V
Philadelphia 76ers,100,Sacramento Kings,102,H
Milwaukee Bucks,102,Washington Wizards,107,H
Memphis Grizzlies,103,Boston Celtics,113,H
Houston Rockets,123,Dallas Mavericks,107,V
Utah Jazz,102,Los Angeles Lakers,100,V
Oklahoma City Thunder,106,Miami Heat,94,V
New York Knicks,98,Atlanta Hawks,102,H
Brooklyn Nets,99,Chicago Bulls,101,H
Minnesota Timberwolves,103,Denver Nuggets,105,H
Milwaukee Bucks,119,Detroit Pistons,94,V
Toronto Raptors,111,Golden State Warriors,121,H
Los Angeles Clippers,98,New Orleans Pelicans,102,H
Charlotte Hornets,120,Orlando Magic,101,V
Sacramento Kings,89,Portland Trail Blazers,102,H
Phoenix Suns,98,San Antonio Spurs,119,H
Indiana Pacers,105,Washington Wizards,111,H
Miami Heat,82,Charlotte Hornets,91,H
Boston Celtics,118,Cleveland Cavaliers,124,H
Dallas Mavericks,101,Los Angeles Lakers,89,V
Oklahoma City Thunder,80,Memphis Grizzlies,114,H
Toronto Raptors,91,Phoenix Suns,99,H
Philadelphia 76ers,83,Utah Jazz,100,H
Detroit Pistons,98,Atlanta Hawks,105,H
Miami Heat,114,Boston Celtics,117,H
Philadelphia 76ers,124,Denver Nuggets,122,V
Dallas Mavericks,99,Golden State Warriors,108,H
Los Angeles Clippers,116,Houston Rockets,140,H
Chicago Bulls,101,Indiana Pacers,111,H
Milwaukee Bucks,99,Minnesota Timberwolves,116,H
New York Knicks,92,New Orleans Pelicans,104,H
Portland Trail Blazers,94,San Antonio Spurs,110,H
Brooklyn Nets,95,Washington Wizards,118,H
Milwaukee Bucks,116,Chicago Bulls,96,V
Cleveland Cavaliers,121,Charlotte Hornets,109,V
New York Knicks,122,Houston Rockets,129,H
Los Angeles Clippers,88,Oklahoma City Thunder,114,H
Memphis Grizzlies,112,Sacramento Kings,98,V
Phoenix Suns,86,Utah Jazz,91,H
San Antonio Spurs,112,Atlanta Hawks,114,H
Orlando Magic,104,Indiana Pacers,117,H
Toronto Raptors,123,Los Angeles Lakers,114,V
Detroit Pistons,107,Miami Heat,98,V
Portland Trail Blazers,95,Minnesota Timberwolves,89,V
Utah Jazz,101,Brooklyn Nets,89,V
Charlotte Hornets,111,Chicago Bulls,118,H
New Orleans Pelicans,82,Cleveland Cavaliers,90,H
Denver Nuggets,119,Golden State Warriors,127,H
Washington Wizards,91,Houston Rockets,101,H
Phoenix Suns,98,Los Angeles Clippers,109,H
Oklahoma City Thunder,94,Milwaukee Bucks,98,H
Orlando Magic,115,New York Knicks,103,V
Utah Jazz,104,Boston Celtics,115,H
Washington Wizards,105,Dallas Mavericks,113,H
Sacramento Kings,120,Denver Nuggets,113,V
Indiana Pacers,121,Detroit Pistons,116,V
Memphis Grizzlies,102,Los Angeles Lakers,116,H
Minnesota Timberwolves,91,Philadelphia 76ers,93,H
Miami Heat,90,Phoenix Suns,99,H
Toronto Raptors,82,San Antonio Spurs,110,H
Oklahoma City Thunder,112,Charlotte Hornets,123,H
Chicago Bulls,106,Cleveland Cavaliers,94,V
Portland Trail Blazers,117,Golden State Warriors,125,H
Memphis Grizzlies,106,Los Angeles Clippers,115,H
Milwaukee Bucks,105,New York Knicks,104,V
Atlanta Hawks,111,Orlando Magic,92,V
Miami Heat,107,Sacramento Kings,102,V
Phoenix Suns,102,Dallas Mavericks,95,V
San Antonio Spurs,127,Denver Nuggets,99,V
Charlotte Hornets,114,Detroit Pistons,115,H
Oklahoma City Thunder,116,Houston Rockets,118,H
Brooklyn Nets,109,Indiana Pacers,121,H
Atlanta Hawks,99,New Orleans Pelicans,94,V
Los Angeles Lakers,109,Portland Trail Blazers,118,H
Utah Jazz,93,Toronto Raptors,101,H
Philadelphia 76ers,106,Boston Celtics,110,H
Cleveland Cavaliers,116,Brooklyn Nets,108,V
Memphis Grizzlies,128,Golden State Warriors,119,V
Miami Heat,100,Los Angeles Lakers,127,H
New York Knicks,116,Milwaukee Bucks,111,V
Houston Rockets,100,Orlando Magic,93,V
Los Angeles Clippers,106,Sacramento Kings,98,V
Minnesota Timberwolves,105,Washington Wizards,112,H
New Orleans Pelicans,108,Boston Celtics,117,H
