Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
New York Knicks,88,Cleveland Cavaliers,117,H
San Antonio Spurs,129,Golden State Warriors,100,V
Utah Jazz,104,Portland Trail Blazers,113,H
Brooklyn Nets,117,Boston Celtics,122,H
Dallas Mavericks,121,Indiana Pacers,130,H
Houston Rockets,114,Los Angeles Lakers,120,H
Minnesota Timberwolves,98,Memphis Grizzlies,102,H
Charlotte Hornets,107,Milwaukee Bucks,96,V
Denver Nuggets,107,New Orleans Pelicans,102,V
Miami Heat,108,Orlando Magic,96,V
Oklahoma City Thunder,103,Philadelphia 76ers,97,V
Sacramento Kings,113,Phoenix Suns,94,V
Detroit Pistons,91,Toronto Raptors,109,H
Washington Wizards,99,Atlanta Hawks,114,H
Boston Celtics,99,Chicago Bulls,105,H
Los Angeles Clippers,114,Portland Trail Blazers,106,V
San Antonio Spurs,102,Sacramento Kings,94,V
Indiana Pacers,94,Brooklyn Nets,103,H
Houston Rockets,106,Dallas Mavericks,98,V
Orlando Magic,82,Detroit Pistons,108,H
Charlotte Hornets,97,Miami Heat,91,V
Golden State Warriors,122,New Orleans Pelicans,114,V
Phoenix Suns,110,Oklahoma City Thunder,113,H
Cleveland Cavaliers,94,Toronto Raptors,91,V
Los Angeles Lakers,89,Utah Jazz,96,H
Indiana Pacers,101,Chicago Bulls,118,H
Boston Celtics,104,Charlotte Hornets,98,V
Orlando Magic,99,Cleveland Cavaliers,105,H
Portland Trail Blazers,115,Denver Nuggets,113,V
Brooklyn Nets,108,Milwaukee Bucks,110,H
Memphis Grizzlies,104,New York Knicks,111,H
Atlanta Hawks,104,Philadelphia 76ers,72,V
Minnesota Timberwolves,103,Sacramento Kings,106,H
New Orleans Pelicans,79,San Antonio Spurs,98,H
Milwaukee Bucks,83,Detroit Pistons,98,H
Dallas Mavericks,92,Houston Rockets,93,H
Utah Jazz,75,Los Angeles Clippers,88,H
Washington Wizards,103,Memphis Grizzlies,112,H
San Antonio Spurs,106,Miami Heat,99,V
Los Angeles Lakers,96,Oklahoma City Thunder,113,H
Golden State Warriors,106,Phoenix Suns,100,V
Sacramento Kings,95,Atlanta Hawks,106,H
Chicago Bulls,118,Brooklyn Nets,88,V
Phoenix Suns,98,Los Angeles Clippers,116,H
Denver Nuggets,102,Toronto Raptors,105,H
Houston Rockets,120,Cleveland Cavaliers,128,H
New York Knicks,89,Detroit Pistons,102,H
Los Angeles Lakers,108,Indiana Pacers,115,H
Sacramento Kings,96,Miami Heat,108,H
Memphis Grizzlies,80,Minnesota Timberwolves,116,H
Milwaukee Bucks,117,New Orleans Pelicans,113,V
Orlando Magic,103,Philadelphia 76ers,101,V
Golden State Warriors,127,Portland Trail Blazers,104,V
Utah Jazz,106,San Antonio Spurs,91,V
Los Angeles Lakers,123,Atlanta Hawks,116,V
Chicago Bulls,100,Boston Celtics,107,H
Detroit Pistons,101,Brooklyn Nets,109,H
Philadelphia 76ers,93,Charlotte Hornets,109,H
Oklahoma City Thunder,85,Los Angeles Clippers,83,V
New Orleans Pelicans,83,Memphis Grizzlies,89,H
Houston Rockets,118,New York Knicks,99,V
Portland Trail Blazers,115,Phoenix Suns,118,H
Dallas Mavericks,81,Utah Jazz,97,H
Toronto Raptors,113,Washington Wizards,103,V
Boston Celtics,122,Cleveland Cavaliers,128,H
Oklahoma City Thunder,96,Golden State Warriors,122,H
Indiana Pacers,107,Milwaukee Bucks,125,H
Denver Nuggets,102,Minnesota Timberwolves,99,V
Sacramento Kings,94,Orlando Magic,102,H
Charlotte Hornets,99,Brooklyn Nets,95,V
New York Knicks,117,Chicago Bulls,104,V
Portland Trail Blazers,105,Dallas Mavericks,95,V
Golden State Warriors,97,Los Angeles Lakers,117,H
Los Angeles Clippers,99,Memphis Grizzlies,88,V
Phoenix Suns,112,New Orleans Pelicans,111,V
Miami Heat,87,Toronto Raptors,96,H
San Antonio Spurs,100,Utah Jazz,86,V
Atlanta Hawks,92,Washington Wizards,95,H
Houston Rockets,97,Atlanta Hawks,112,H
Denver Nuggets,86,Detroit Pistons,103,H
Chicago Bulls,94,Indiana Pacers,111,H
Sacramento Kings,91,Milwaukee Bucks,117,H
Minnesota Timberwolves,92,Oklahoma City Thunder,112,H
Washington Wizards,86,Orlando Magic,88,H
Cleveland Cavaliers,102,Philadelphia 76ers,101,V
Los Angeles Clippers,116,San Antonio Spurs,92,V
Denver Nuggets,123,Boston Celtics,107,V
Milwaukee Bucks,75,Dallas Mavericks,86,H
Phoenix Suns,108,Los Angeles Lakers,119,H
Portland Trail Blazers,100,Memphis Grizzlies,94,V
Utah Jazz,114,New York Knicks,109,V
Sacramento Kings,96,Toronto Raptors,91,V
Orlando Magic,80,Chicago Bulls,112,H
Indiana Pacers,100,Charlotte Hornets,122,H
New Orleans Pelicans,106,Golden State Warriors,116,H
Detroit Pistons,82,Los Angeles Clippers,114,H
Miami Heat,85,Oklahoma City Thunder,97,H
Utah Jazz,109,Philadelphia 76ers,84,V
Houston Rockets,114,Washington Wizards,106,V
Minnesota Timberwolves,110,Brooklyn Nets,119,H
Atlanta Hawks,110,Cleveland Cavaliers,106,V
Dallas Mavericks,109,Los Angeles Lakers,97,V
Denver Nuggets,107,Memphis Grizzlies,108,H
Phoenix Suns,121,Portland Trail Blazers,124,H
New Orleans Pelicans,94,Sacramento Kings,102,H
Chicago Bulls,107,Atlanta Hawks,115,H
Utah Jazz,98,Charlotte Hornets,104,H
Dallas Mavericks,95,Golden State Warriors,116,H
Philadelphia 76ers,115,Indiana Pacers,122,H
Portland Trail Blazers,80,Los Angeles Clippers,111,H
Brooklyn Nets,96,New York Knicks,110,H
Toronto Raptors,112,Oklahoma City Thunder,102,V
Minnesota Timberwolves,123,Orlando Magic,107,V
Detroit Pistons,100,Phoenix Suns,107,H
Houston Rockets,101,San Antonio Spurs,99,V
Boston Celtics,93,Washington Wizards,118,H
Golden State Warriors,125,Denver Nuggets,101,V
Chicago Bulls,98,Miami Heat,95,V
New Orleans Pelicans,112,Milwaukee Bucks,106,V
Los Angeles Lakers,101,Sacramento Kings,91,V
New York Knicks,87,Boston Celtics,115,H
Toronto Raptors,113,Charlotte Hornets,111,V
Los Angeles Clippers,110,Oklahoma City Thunder,108,V
Utah Jazz,87,Orlando Magic,74,V
Indiana Pacers,105,Philadelphia 76ers,109,H
Sacramento Kings,120,Portland Trail Blazers,122,H
Detroit Pistons,86,San Antonio Spurs,96,H
Cleveland Cavaliers,105,Washington Wizards,94,V
Philadelphia 76ers,96,Atlanta Hawks,117,H
Washington Wizards,95,Chicago Bulls,106,H
