Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Boston Celtics,99,Cleveland Cavaliers,102,H
Houston Rockets,122,Golden State Warriors,121,V
Milwaukee Bucks,108,Boston Celtics,100,V
Atlanta Hawks,117,Dallas Mavericks,111,V
Charlotte Hornets,90,Detroit Pistons,102,H
Brooklyn Nets,131,Indiana Pacers,140,H
New Orleans Pelicans,91,Memphis Grizzlies,103,H
Miami Heat,109,Orlando Magic,116,H
Portland Trail Blazers,124,Phoenix Suns,76,V
Houston Rockets,105,Sacramento Kings,100,V
Minnesota Timberwolves,99,San Antonio Spurs,107,H
Denver Nuggets,96,Utah Jazz,106,H
Philadelphia 76ers,115,Washington Wizards,120,H
Los Angeles Clippers,108,Los Angeles Lakers,92,V
New York Knicks,84,Oklahoma City Thunder,105,H
Chicago Bulls,100,Toronto Raptors,117,H
Orlando Magic,121,Brooklyn Nets,126,H
Atlanta Hawks,91,Charlotte Hornets,109,H
Sacramento Kings,93,Dallas Mavericks,88,V
Portland Trail Blazers,114,Indiana Pacers,96,V
Cleveland Cavaliers,116,Milwaukee Bucks,97,V
Utah Jazz,97,Minnesota Timberwolves,100,H
Golden State Warriors,128,New Orleans Pelicans,120,V
Boston Celtics,102,Philadelphia 76ers,92,V
Los Angeles Lakers,132,Phoenix Suns,130,V
Detroit Pistons,111,Washington Wizards,115,H
San Antonio Spurs,87,Chicago Bulls,77,V
Orlando Magic,114,Cleveland Cavaliers,93,V
Sacramento Kings,79,Denver Nuggets,96,H
Dallas Mavericks,91,Houston Rockets,107,H
Phoenix Suns,88,Los Angeles Clippers,130,H
Golden State Warriors,101,Memphis Grizzlies,111,H
Indiana Pacers,108,Miami Heat,112,H
Portland Trail Blazers,110,Milwaukee Bucks,113,H
Detroit Pistons,111,New York Knicks,107,V
Philadelphia 76ers,94,Toronto Raptors,128,H
Oklahoma City Thunder,87,Utah Jazz,96,H
Atlanta Hawks,104,Brooklyn Nets,116,H
New Orleans Pelicans,119,Los Angeles Lakers,112,V
Minnesota Timberwolves,115,Oklahoma City Thunder,113,V
Golden State Warriors,133,Dallas Mavericks,103,V
Washington Wizards,109,Denver Nuggets,104,V
Philadelphia 76ers,97,Detroit Pistons,86,V
Memphis Grizzlies,98,Houston Rockets,90,V
Atlanta Hawks,93,Miami Heat,104,H
Charlotte Hornets,94,Milwaukee Bucks,103,H
Sacramento Kings,115,Phoenix Suns,117,H
Toronto Raptors,97,San Antonio Spurs,101,H
New York Knicks,89,Boston Celtics,110,H
Chicago Bulls,112,Cleveland Cavaliers,119,H
Utah Jazz,84,Los Angeles Clippers,102,H
Indiana Pacers,130,Minnesota Timberwolves,107,V
Brooklyn Nets,121,Orlando Magic,125,H
New Orleans Pelicans,93,Portland Trail Blazers,103,H
Cleveland Cavaliers,107,Brooklyn Nets,112,H
Denver Nuggets,93,Charlotte Hornets,110,H
Memphis Grizzlies,94,Dallas Mavericks,103,H
Minnesota Timberwolves,101,Detroit Pistons,122,H
Toronto Raptors,112,Golden State Warriors,117,H
Washington Wizards,99,Los Angeles Lakers,102,H
San Antonio Spurs,117,Miami Heat,100,V
Indiana Pacers,96,Oklahoma City Thunder,114,H
Houston Rockets,105,Philadelphia 76ers,104,V
Utah Jazz,88,Phoenix Suns,97,H
Atlanta Hawks,86,Chicago Bulls,91,H
Dallas Mavericks,91,Memphis Grizzlies,96,H
Boston Celtics,96,Milwaukee Bucks,89,V
Los Angeles Clippers,104,Portland Trail Blazers,103,V
New Orleans Pelicans,114,Sacramento Kings,106,V
Denver Nuggets,105,Atlanta Hawks,100,V
Houston Rockets,109,Charlotte Hornets,93,V
Washington Wizards,117,Golden State Warriors,120,H
Toronto Raptors,101,Los Angeles Lakers,92,V
Oklahoma City Thunder,116,Minnesota Timberwolves,119,H
Brooklyn Nets,86,New York Knicks,107,H
San Antonio Spurs,87,Orlando Magic,114,H
Oklahoma City Thunder,101,Chicago Bulls,69,V
