TEAM,GP,W,L,WINp,MIN,EFGp,FTA RATE,TOVp,OREBp,OPP EFGp,OPP FTA?RATE,OPP TOVp,OPP OREBp
Golden State Warriors,82,73,9,0.89,3976,56.3,0.25,14.9,23.5,47.9,0.275,14,24
San Antonio Spurs,82,67,15,0.817,3941,52.6,0.246,13.7,23,47.7,0.24,15.4,20.9
Cleveland Cavaliers,82,57,25,0.695,3971,52.4,0.259,14.1,25.1,49.6,0.275,13.9,21.5
Toronto Raptors,82,56,26,0.683,3956,50.4,0.328,13.6,24.6,49.8,0.269,14,22.3
Oklahoma City Thunder,82,55,27,0.671,3966,52.4,0.292,15.9,31.1,48.4,0.271,13,24
LA Clippers,82,53,29,0.646,3966,52.4,0.318,13.2,20.1,48,0.296,15.5,26.2
Miami Heat,82,48,34,0.585,3966,50.8,0.282,14.7,23.8,48.5,0.255,13.3,22.2
Boston Celtics,82,48,34,0.585,3956,48.8,0.264,13.5,25.1,48.7,0.306,16.2,25.4
Charlotte Hornets,82,48,34,0.585,3971,50.2,0.28,12.7,20,49.6,0.249,13.6,20.2
Atlanta Hawks,82,48,34,0.585,3966,51.6,0.237,15,19.1,48,0.256,16.1,25.4
Indiana Pacers,82,45,37,0.549,3976,49.7,0.268,14.9,23.4,48.9,0.273,15.8,24
Detroit Pistons,82,44,38,0.537,3976,49.1,0.296,13.7,27,50.4,0.25,13.7,20.7
Portland Trail Blazers,82,44,38,0.537,3961,51.1,0.268,14.8,25.9,50.3,0.307,13.4,23.8
Dallas Mavericks,82,42,40,0.512,4001,50.2,0.265,13.1,20.6,50.4,0.269,14.2,23.8
Chicago Bulls,82,42,40,0.512,3981,48.7,0.24,14,24.5,48.5,0.247,12,25.1
Memphis Grizzlies,82,42,40,0.512,3966,47.7,0.295,13.8,25.3,51.8,0.326,16.8,24.9
Houston Rockets,82,41,41,0.5,3966,51.6,0.352,15.8,25.7,51.6,0.289,16.5,27.2
Washington Wizards,82,41,41,0.5,3951,51.1,0.263,14.3,20.6,51.5,0.283,16,22.3
Utah Jazz,82,40,42,0.488,3991,50.1,0.286,15.8,25.9,49.5,0.281,14.8,22.3
Orlando Magic,82,35,47,0.427,3981,50,0.232,14.2,23.1,51.3,0.288,15.3,23.5
Milwaukee Bucks,82,33,49,0.402,3966,49.9,0.276,15.7,24.9,51,0.288,15.8,26.9
Denver Nuggets,82,33,49,0.402,3966,48.9,0.282,14.8,25.8,51.5,0.284,13.9,22.7
Sacramento Kings,82,33,49,0.402,3961,51,0.295,15.7,23.9,52.1,0.264,15.5,25.1
New York Knicks,82,32,50,0.39,3961,48.3,0.255,13.9,23.7,48.7,0.271,11.7,24.2
New Orleans Pelicans,82,30,52,0.366,3956,49.8,0.259,13.5,21.2,52.3,0.287,13.8,21.2
Minnesota Timberwolves,82,29,53,0.354,3976,49.8,0.332,15.3,24.3,52.4,0.265,15,25.3
Phoenix Suns,82,23,59,0.28,3941,48.7,0.271,16.9,25.4,52.3,0.317,14.9,22.9
Brooklyn Nets,82,21,61,0.256,3951,49.2,0.246,15.1,24.1,53.4,0.23,14.5,24.3
Los Angeles Lakers,82,17,65,0.207,3946,46,0.292,13.9,23.1,52.3,0.277,12.9,25.3
Philadelphia 76ers,82,10,72,0.122,3961,48.7,0.269,16.2,20.6,51,0.306,15,26
