TEAM,GP,W,L,WINp,MIN,EFGp,FTA RATE,TOVp,OREBp,OPP EFGp,OPP FTA?RATE,OPP TOVp,OPP OREBp
San Antonio Spurs,82,62,20,0.756,3951,53.7,0.24,14.8,22.7,48.2,0.242,14.2,23.6
Oklahoma City Thunder,82,59,23,0.72,3961,52,0.303,15.6,26.5,48.8,0.304,15.4,24.4
Los Angeles Clippers,82,57,25,0.695,3951,52.6,0.353,14,25,48.4,0.294,15.5,27.5
Indiana Pacers,82,56,26,0.683,3956,49,0.29,15.8,24.9,46,0.261,14.3,23.2
Miami Heat,82,54,28,0.659,3976,55.4,0.3,15.8,20.6,51.1,0.283,17.6,27
Portland Trail Blazers,82,54,28,0.659,3971,50.4,0.27,13.9,28,48.8,0.253,12.2,25.3
Houston Rockets,82,54,28,0.659,3966,53.1,0.386,16.3,27.4,48.9,0.255,14,25.9
Golden State Warriors,82,51,31,0.622,3966,51.7,0.247,15.4,25.1,47.7,0.292,15.1,23.7
Memphis Grizzlies,82,50,32,0.61,3961,49.4,0.248,14.7,28.3,49.7,0.259,15.3,24.3
Dallas Mavericks,82,49,33,0.598,3966,52.6,0.253,14.1,24.6,51.5,0.303,16.5,27.3
Toronto Raptors,82,48,34,0.585,3991,49.8,0.306,14.8,27.2,49.3,0.315,15.6,25.1
Chicago Bulls,82,48,34,0.585,3986,47.1,0.29,15.9,27.2,47.1,0.25,15.3,24.6
Phoenix Suns,82,48,34,0.585,3951,51.9,0.293,15.6,26.4,49.6,0.309,15.5,26.3
Brooklyn Nets,82,44,38,0.537,3976,51.4,0.313,15.4,21.7,50.9,0.311,16.7,27.7
Washington Wizards,82,44,38,0.537,4011,50.6,0.248,15.1,25.2,50.4,0.288,16.5,24.3
Charlotte Bobcats,82,43,39,0.524,3981,48.1,0.297,12.9,21.9,49.1,0.241,13.9,22.4
Minnesota Timberwolves,82,40,42,0.488,3971,48.6,0.321,13.8,27.4,51.8,0.233,16.4,25.6
Atlanta Hawks,82,38,44,0.463,3966,51.5,0.266,15.6,21,51,0.262,15.6,25.6
New York Knicks,82,37,45,0.451,3971,50.5,0.248,13.9,25.1,51.4,0.32,15.6,25.7
Denver Nuggets,82,36,46,0.439,3951,49.7,0.306,15.7,27.5,50,0.306,14.2,25.5
New Orleans Pelicans,82,34,48,0.415,3971,49.5,0.286,14.5,26.9,51.5,0.331,15.1,26.2
Cleveland Cavaliers,82,33,49,0.402,3986,47.9,0.268,14.6,27.2,50.8,0.263,14.4,24.2
Detroit Pistons,82,29,53,0.354,3956,48.2,0.296,14.8,31.4,52,0.288,15.4,26.6
Sacramento Kings,82,28,54,0.341,3966,48.4,0.331,15.6,27.8,51.2,0.318,14,23.4
Los Angeles Lakers,82,27,55,0.329,3941,50.5,0.263,15,20.2,51.3,0.264,14,29
Utah Jazz,82,25,57,0.305,3956,48.4,0.271,15.5,25.5,51.8,0.293,13.5,25.5
Boston Celtics,82,25,57,0.305,3946,47.7,0.248,15.9,27.4,50.5,0.299,14.9,25.8
Orlando Magic,82,23,59,0.28,3991,48.7,0.253,15.3,22.4,50.4,0.274,14.4,24.5
Philadelphia 76ers,82,19,63,0.232,3971,47.5,0.268,16.4,24.8,52.4,0.324,16.6,27.6
Milwaukee Bucks,82,15,67,0.183,3976,47.9,0.274,15.8,27.1,52,0.299,14.8,28.6
