Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Devin Booker,21,54,54,34.5,8.4,19.5,.432,2.7,7.1,.383,5.7,12.4,.460,.501,5.4,6.1,.878,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9
2,T.J. Warren,24,65,65,33.0,8.1,16.4,.498,0.3,1.4,.222,7.8,15.0,.523,.507,3.0,3.9,.757,1.9,3.2,5.1,1.3,1.0,0.6,1.3,2.3,19.6
3,Elfrid Payton,23,19,19,29.0,4.8,11.0,.435,0.3,1.3,.200,4.5,9.7,.467,.447,1.9,2.8,.685,0.9,4.4,5.3,6.2,1.0,0.3,2.8,2.6,11.8
4,Eric Bledsoe,28,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7
5,Josh Jackson,20,77,35,25.4,5.1,12.1,.417,0.7,2.8,.263,4.3,9.3,.464,.448,2.3,3.6,.634,1.2,3.3,4.6,1.5,1.0,0.5,1.9,2.8,13.1
6,Dragan Bender,20,82,37,25.2,2.3,5.9,.386,1.4,3.9,.366,0.8,2.0,.426,.508,0.5,0.6,.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2.0,6.5
7,Tyson Chandler,35,46,46,25.0,2.6,4.1,.647,0.0,0.0,0.0,2.6,4.1,.647,.647,1.3,2.0,.617,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5
8,Tyler Ulis,22,71,43,23.4,3.0,7.8,.388,0.6,2.1,.288,2.4,5.7,.425,.426,1.2,1.4,.832,0.3,1.5,1.8,4.4,1.0,0.1,1.8,1.7,7.8
9,Greg Monroe,27,20,14,23.3,4.9,7.8,.626,0.0,0.0,0.0,4.9,7.8,.626,.626,1.6,2.3,.674,2.5,5.5,8.0,2.5,0.8,0.3,2.0,2.0,11.3
10,Isaiah Canaan,26,19,1,22.0,2.7,7.2,.382,1.2,3.5,.333,1.6,3.7,.429,.463,2.4,2.7,.902,0.3,2.0,2.3,4.0,0.8,0.1,1.5,1.9,9.1
11,Marquese Chriss,20,72,49,21.2,2.8,6.6,.423,0.8,2.6,.295,2.0,4.0,.509,.482,1.3,2.2,.608,1.1,4.4,5.5,1.2,0.7,1.0,1.5,2.8,7.7
12,Mike James,27,32,10,20.9,3.8,9.8,.388,0.8,3.0,.268,3.0,6.7,.442,.429,2.0,2.6,.762,0.4,2.4,2.8,3.8,0.8,0.2,1.5,1.4,10.4
13,Troy Daniels,26,79,15,20.5,2.9,7.3,.403,2.3,5.8,.400,0.6,1.5,.419,.563,0.7,0.8,.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9
14,Alex Len,24,69,13,20.2,3.1,5.5,.566,0.0,0.0,.333,3.1,5.4,.568,.567,2.3,3.3,.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5
15,Danuel House,24,23,3,17.5,2.4,5.6,.434,0.7,2.5,.259,1.8,3.1,.577,.492,1.1,1.3,.806,0.6,2.7,3.3,1.1,0.3,0.3,0.5,1.0,6.6
16,Josh Gray,24,5,0,17.2,2.2,8.2,.268,0.6,2.6,.231,1.6,5.6,.286,.305,1.4,2.2,.636,0.4,1.6,2.0,2.4,1.6,0.4,1.4,1.6,6.4
17,Shaquille Harrison,24,23,2,16.7,2.6,5.4,.476,0.3,1.1,.231,2.3,4.3,.541,.500,1.2,1.7,.737,0.4,2.3,2.7,2.4,1.1,0.3,1.0,1.8,6.6
18,Jared Dudley,32,48,0,14.3,1.0,2.5,.393,0.6,1.7,.363,0.4,0.9,.452,.512,0.6,0.7,.771,0.2,1.8,2.0,1.6,0.5,0.2,0.6,1.8,3.2
19,Alan Williams,25,5,0,14.0,1.4,3.6,.389,0.0,0.0,0.0,1.4,3.6,.389,.389,1.2,1.8,.667,0.6,3.8,4.4,1.6,1.0,0.2,1.4,2.6,4.0
20,Davon Reed,22,21,1,11.5,1.0,3.6,.289,0.5,1.8,.289,0.5,1.8,.289,.362,0.4,0.6,.667,0.1,1.8,1.9,0.6,0.5,0.1,0.5,0.8,3.0
21,Alec Peters,22,20,0,11.3,1.4,3.7,.378,0.9,2.9,.310,0.5,0.8,.625,.500,0.4,0.5,.800,0.4,1.5,1.9,0.6,0.1,0.1,0.2,0.7,4.1
22,Derrick Jones,20,6,0,5.5,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.8,1.0,.833,0.3,0.3,0.7,0.5,0.2,0.7,0.2,0.3,1.5
